nomal_backstepping 配置检查通过: /home/robot/ChenHong/YCX/VRT_PPC/example/rt/arm5_backstepping_runs/20260901_165157/arm5_backstepping.cfg
  joint=5, RL/NN=absent, barrier=true
  K1=24, K2=40
  reference A=0.02 rad, omega=0.523599 rad/s
  nominal_inertia5=0.02, v_limit=28, tau_limit5=0.8 Nm
  sine_duration=12 s, total_time=15 s
已连接机型: XMC7-R850-W0X3B1
跳过 MoveJ，当前姿态作为第五关节正弦中心和其余关节保持位置。
已进入第五关节 No-RL 反步力矩实验。
t=0.5 e5=-0.00517327 z1=-0.0599231 z2=-0.134758 tau5=0.0633068 theta=0.05
t=1 e5=-0.00995782 z1=-0.116344 z2=-0.251207 tau5=0.232413 theta=0.0499966
t=1.5 e5=-0.013767 z1=-0.162855 z2=-0.345364 tau5=0.317344 theta=0.0486781
t=2 e5=-0.0167093 z1=-0.200156 z2=-0.421776 tau5=0.386427 theta=0.0481372
t=2.5 e5=-0.0181115 z1=-0.219216 z2=-0.458484 tau5=0.419083 theta=0.0481606
t=3 e5=-0.018717 z1=-0.227343 z2=-0.472251 tau5=0.430545 theta=0.0484951
t=3.5 e5=-0.0180199 z1=-0.218158 z2=-0.450079 tau5=0.409233 theta=0.0487629
t=4 e5=-0.0160248 z1=-0.192249 z2=-0.393537 tau5=0.356681 theta=0.0485877
t=4.5 e5=-0.0128524 z1=-0.152291 z2=-0.30841 tau5=0.278274 theta=0.0477453
t=5 e5=-0.008722 z1=-0.102071 z2=-0.202643 tau5=0.181309 theta=0.0462317
t=5.5 e5=-0.00393338 z1=-0.0456035 z2=-0.0845289 tau5=0.073365 theta=0.0442435
t=6 e5=0.00119027 z1=0.0137464 z2=0.0390239 tau5=-0.0393719 theta=0.0421073
t=6.5 e5=0.00625113 z1=0.0723708 z2=0.160565 tau5=-0.15001 theta=0.040193
t=7 e5=0.0105218 z1=0.122856 z2=0.264718 tau5=-0.243672 theta=0.038813
t=7.5 e5=0.0142253 z1=0.168147 z2=0.356379 tau5=-0.327201 theta=0.0381255
t=8 e5=0.017001 z1=0.203525 z2=0.428817 tau5=-0.392835 theta=0.0381661
t=8.5 e5=0.0188499 z1=0.227745 z2=0.47641 tau5=-0.43522 theta=0.0388392
t=9 e5=0.0189075 z1=0.229544 z2=0.473758 tau5=-0.430693 theta=0.0397859
t=9.5 e5=0.0180719 z1=0.218759 z2=0.451348 tau5=-0.410289 theta=0.0405018
t=10 e5=0.0160437 z1=0.192468 z2=0.393998 tau5=-0.357059 theta=0.0407364
t=10.5 e5=0.012868 z1=0.152471 z2=0.308789 tau5=-0.278594 theta=0.0402804
t=11 e5=0.0087359 z1=0.102231 z2=0.202979 tau5=-0.181603 theta=0.0391329
t=11.5 e5=0.00394033 z1=0.0456838 z2=0.0846962 tau5=-0.0734877 theta=0.0374918
t=12 e5=-0.00119651 z1=-0.0138184 z2=-0.0287065 tau5=0.0292928 theta=0.035685
t=12.5 e5=-0.0011838 z1=-0.0136716 z2=-0.028402 tau5=0.0258865 theta=0.0339544
t=13 e5=-0.00118212 z1=-0.0136522 z2=-0.0283617 tau5=0.0258537 theta=0.0323082
t=13.5 e5=-0.00117853 z1=-0.0136107 z2=-0.0282755 tau5=0.0257721 theta=0.0307422
t=14 e5=-0.00117613 z1=-0.013583 z2=-0.0282181 tau5=0.025715 theta=0.0292526
t=14.5 e5=-0.00117445 z1=-0.0135636 z2=-0.0281778 tau5=0.012839 theta=0.0278356
t=15 e5=-0.00117421 z1=-0.0135608 z2=-0.0281721 tau5=0 theta=0.0264877
实验完成。日志: arm5_backstepping_log.csv
