time,sine_active,ramp_factor,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,qd5,dqd5,ddqd5,error5,z1,z2,hx,hbeta_x5,barrier_ratio5,alpha5,alpha_dot5,mu_s5,phi5,nu_r5,term_z2_5,term_mu_5,term_nu_5,virtual_accel_unsat5,virtual_accel5,theta_hat,tau5_raw,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,alpha_saturated,alpha_dot_saturated,virtual_accel_saturated,amplitude_saturated5,rate_saturated5,abort
0.01,1,0.0002467198171,5.177185159e-05,3.667172821e-05,-2.636529479e-06,6.471481449e-05,-0.02508442083,-7.717840839e-05,0,0,0,0,0,0,-0.02496867607,0.01047183196,-2.870938426e-05,-0.0001157447635,-0.001336506932,-0.01973146344,11.54700527,0,-0.0001273113542,0.01973146344,0.1438925959,-0.01543265259,1.025084421,-0.0005183445924,2.644016101,0.01543265259,0.0005183445924,2.803859694,2.803859694,0.05,0.05607719388,-0,-0,9.587379924e-07,-9.587379924e-07,0.05607719388,-3.978762669e-05,-0,-0,2.365396622e-10,-2.365396622e-10,1.383535502e-05,-9.81639598e-09,0,0,0,0,0,0
0.02,1,0.0009866357859,5.177185159e-05,3.691141271e-05,-2.876213977e-06,6.519418349e-05,-0.02508537957,-7.478156341e-05,0,0,0,0,0,0,-0.02486395966,0.01047140133,-5.741798145e-05,-0.0002214199072,-0.002556749191,-0.02818523959,11.54700536,0,-0.0001383819067,0.02818523959,0.2722288838,-0.02952279662,1.02508538,-0.0007404262691,3.776822106,0.02952279662,0.0007404262691,4.079314212,4.079314212,0.05,0.08158628424,-0,-4.793689962e-07,1.438106989e-06,-1.917475985e-06,0.08158628424,-4.458131665e-05,-0,-4.729626063e-10,1.418887819e-09,-1.891850425e-09,8.049594767e-05,-4.398552239e-08,0,0,0,0,0,0
0.03,1,0.002219017698,5.249090509e-05,3.643204371e-05,-2.636529479e-06,6.519418349e-05,-0.02508585894,-7.262440293e-05,0,0,0,0,0,0,-0.024759249,0.01047068361,-8.612500448e-05,-0.0003266099401,-0.003771408435,-0.03660012875,11.54700541,0,-0.000143917183,0.03660012875,0.3764316313,-0.0435484736,1.025085859,-0.0009614863139,4.904417252,0.0435484736,0.0009614863139,5.325358843,5.325358843,0.05,0.1065071769,-1.438106989e-06,4.793689962e-07,9.587379924e-07,-1.917475985e-06,0.1065071769,-4.889563761e-05,-3.19118486e-09,1.063728287e-09,2.127456573e-09,-4.254913147e-09,0.0002363413105,-1.085002852e-07,0,0,0,0,0,0
0.04,1,0.003942649343,5.225122059e-05,3.715109721e-05,-2.636529479e-06,6.495449899e-05,-0.02508633831,-7.166566493e-05,0,0,0,0,0,0,-0.02465454695,0.01046967883,-0.0001148296664,-0.0004317913606,-0.004985996066,-0.04501431491,11.54700546,0,-0.0001494524592,0.04501431491,0.4615305308,-0.0575733238,1.025086338,-0.001182528305,6.031918198,0.0575733238,0.001182528305,6.552204581,6.552204581,0.05,0.1310440916,-9.587379924e-07,-9.587379924e-07,9.587379924e-07,-1.438106989e-06,0.1310440916,-5.08131136e-05,-3.779967716e-09,-3.779967716e-09,3.779967716e-09,-5.669951574e-09,0.0005166609017,-2.003382889e-07,0,0,0,0,0,0
0.05,1,0.006155829702,5.201153609e-05,3.691141271e-05,-2.396844981e-06,6.519418349e-05,-0.02508705736,-7.214503393e-05,0,0,0,0,0,0,-0.02454985638,0.01046838703,-0.0001435311801,-0.0005372009826,-0.006203255845,-0.05344680725,11.54700554,0,-0.0001577553736,0.05344680725,0.5313808076,-0.07162902959,1.025087057,-0.00140405227,7.161872172,0.07162902959,0.00140405227,7.766286061,7.766286061,0.05,0.1553257212,-4.793689962e-07,-4.793689962e-07,4.793689962e-07,-1.917475985e-06,0.1553257212,-4.985437561e-05,-2.950913905e-09,-2.950913905e-09,2.950913905e-09,-1.180365562e-08,0.0009561586882,-3.068950462e-07,0,0,0,0,0,0
0.06,1,0.008856374636,5.153216709e-05,3.643204371e-05,-2.396844981e-06,6.591323698e-05,-0.02508705736,-7.142598044e-05,0.001047197551,0.001047197551,0,0.001047197551,0,0,-0.02444518017,0.01046680822,-0.0001722287589,-0.000641877198,-0.007412093335,-0.0618207417,11.54700554,0,-0.0001577553736,0.0618207417,0.5873496919,-0.08558748278,1.025087057,-0.001624036255,8.283979388,0.08558748278,0.001624036255,8.958540599,8.958540599,0.05,0.179170812,-0.0001042403861,-0.0001042403861,4.793689962e-07,-0.0001080753381,0.179170812,-5.129248259e-05,-9.231919117e-07,-9.231919117e-07,4.245471419e-09,-9.57155683e-07,0.001586803835,-4.542654419e-07,0,0,0,0,0,0
0.07,1,0.01204161903,5.177185159e-05,3.691141271e-05,-2.636529479e-06,6.543386798e-05,-0.02508849547,-7.166566493e-05,0,0,0,0,0,0,-0.02434052117,0.01046494247,-0.000200921616,-0.0007479742975,-0.008637393391,-0.0703085242,11.5470057,0,-0.0001743612022,0.0703085242,0.6352371771,-0.09973603076,1.025088495,-0.001847016221,9.421342242,0.09973603076,0.001847016221,10.15816247,10.15816247,0.05,0.2031632493,-0,-4.793689962e-07,9.587379924e-07,-2.396844981e-06,0.2031632493,-5.08131136e-05,-0,-5.772378828e-09,1.154475766e-08,-2.886189414e-08,0.002446414449,-6.118721557e-07,0,0,0,0,0,0
0.08,1,0.01570841944,5.225122059e-05,3.78701507e-05,-2.636529479e-06,6.447512999e-05,-0.02508873515,-7.118629594e-05,0,0,0,0,0,0,-0.02423588227,0.01046278981,-0.0002296089646,-0.0008528528825,-0.009848688092,-0.07869906843,11.54700573,0,-0.0001771288403,0.07869906843,0.6725583361,-0.1137228579,1.025088735,-0.002067438133,10.54567517,0.1137228579,0.002067438133,11.3340238,11.3340238,0.05,0.226680476,-9.587379924e-07,-2.396844981e-06,9.587379924e-07,-4.793689962e-07,0.226680476,-5.177185159e-05,-1.506025851e-08,-3.765064628e-08,1.506025851e-08,-7.530129257e-09,0.003560791996,-8.132539598e-07,0,0,0,0,0,0
0.09,1,0.01985315716,5.273058958e-05,3.78701507e-05,-2.636529479e-06,6.471481449e-05,-0.02508897484,-7.070692694e-05,0,0,0,0,0,0,-0.02413126633,0.01046035031,-0.0002582900185,-0.0009577085066,-0.01105979172,-0.08708808173,11.54700576,0,-0.0001798964784,0.08708808173,0.7030023697,-0.1277074788,1.025088975,-0.002287820032,11.66980295,0.1277074788,0.002287820032,12.50280062,12.50280062,0.05,0.2500560124,-1.917475985e-06,-2.396844981e-06,9.587379924e-07,-9.587379924e-07,0.2500560124,-5.273058958e-05,-3.806795208e-08,-4.75849401e-08,1.903397604e-08,-1.903397604e-08,0.004964401313,-1.046868682e-06,0,0,0,0,0,0
0.1,1,0.02447174185,5.177185159e-05,3.76304662e-05,-2.396844981e-06,6.543386798e-05,-0.02508897484,-6.998787345e-05,0,0,0,0,0,0,-0.02402667622,0.01045762403,-0.0002869639912,-0.001062298617,-0.01226791272,-0.09545622374,11.54700576,0,-0.0001798964784,0.09545622374,0.7274996279,-0.1416576589,1.025088975,-0.002507652672,12.79113398,0.1416576589,0.002507652672,13.66279892,13.66279892,0.05,0.2732559784,-0,-1.917475985e-06,4.793689962e-07,-2.396844981e-06,0.2732559784,-5.416869657e-05,-0,-4.692397731e-08,1.173099433e-08,-5.865497164e-08,0.006687049763,-1.325602359e-06,0,0,0,0,0,0
