nomal_backstepping 配置检查通过: /home/robot/ChenHong/YCX/VRT_PPC/example/rt/arm5_backstepping_runs/20260901_170930/arm5_backstepping.cfg
  joint=5, RL/NN=absent, barrier=true
  K1=112, K2=187
  reference A=0.02 rad, omega=0.523599 rad/s
  nominal_inertia5=0.045, v_limit=50, tau_limit5=1 Nm
  sine_duration=12 s, total_time=15 s
已连接机型: XMC7-R850-W0X3B1
跳过 MoveJ，当前姿态作为第五关节正弦中心和其余关节保持位置。
已进入第五关节 No-RL 反步力矩实验。
t=0.5 e5=-0.00118468 z1=-0.013781 z2=-0.0666334 tau5=0.73 theta=0.05
t=1 e5=-0.000936091 z1=-0.0111583 z2=-0.0964877 tau5=0.866866 theta=0.0499505
t=1.5 e5=-0.000770857 z1=-0.00950972 z2=-0.0930657 tau5=0.794861 theta=0.0304197
t=2 e5=-0.000662435 z1=-0.00846029 z2=-0.0724294 tau5=0.605316 theta=0.0185907
t=2.5 e5=-0.000786351 z1=-0.0102892 z2=-0.0881231 tau5=0.748748 theta=0.0114281
t=3 e5=-0.00071139 z1=-0.0093986 z2=-0.0800623 tau5=0.678606 theta=0.00706716
t=3.5 e5=-0.000106366 z1=-0.00139804 z2=-0.00920726 tau5=0.0700107 theta=0.00434575
t=4 e5=0.000297022 z1=0.00381527 z2=0.0363289 tau5=-0.315204 theta=0.00264205
t=4.5 e5=0.000457287 z1=0.00567537 z2=0.0553276 tau5=-0.466243 theta=0.00165405
t=5 e5=0.000437541 z1=0.00524019 z2=0.0412131 tau5=-0.352643 theta=0.00106215
t=5.5 e5=0.000363687 z1=0.00424191 z2=0.0214847 tau5=-0.441158 theta=0.000697711
t=6 e5=-6.18386e-05 z1=-0.000714051 z2=0.00459324 tau5=0.00741786 theta=0.000468877
t=6.5 e5=0.000225218 z1=0.00262404 z2=0.0353577 tau5=-0.250653 theta=0.000343867
t=7 e5=0.000569374 z1=0.00679525 z2=0.0698546 tau5=-0.619346 theta=0.000256193
t=7.5 e5=0.000233484 z1=0.00288785 z2=0.0168466 tau5=-0.238432 theta=0.000214038
t=8 e5=0.000489144 z1=0.00625348 z2=0.0591624 tau5=-0.507775 theta=0.000182318
t=8.5 e5=0.000404294 z1=0.00530338 z2=0.0460331 tau5=-0.390742 theta=0.000155086
t=9 e5=0.000363128 z1=0.00480893 z2=0.0407721 tau5=-0.345028 theta=0.000134353
t=9.5 e5=-0.000224878 z1=-0.00296234 z2=-0.0268029 tau5=0.235275 theta=9.31435e-05
t=10 e5=-0.000464082 z1=-0.00596728 z2=-0.0497052 tau5=0.417392 theta=0.000100568
t=10.5 e5=-0.000474065 z1=-0.0058841 z2=-0.0372999 tau5=0.466214 theta=0.000148674
t=11 e5=-0.000458393 z1=-0.00549034 z2=-0.0602948 tau5=0.484565 theta=0.00015771
t=11.5 e5=-0.00061152 z1=-0.00713595 z2=-0.0544145 tau5=0.577511 theta=0.000159328
t=12 e5=0.000117206 z1=0.00135338 z2=0.0246462 tau5=0.210388 theta=0.000150536
t=12.5 e5=-0.000275397 z1=-0.00318004 z2=-0.030844 tau5=0.261273 theta=0.00010913
t=13 e5=-0.000274678 z1=-0.00317174 z2=-0.0307634 tau5=0.260522 theta=8.48169e-05
t=13.5 e5=-0.000274678 z1=-0.00317174 z2=-0.0307634 tau5=0.26056 theta=7.00299e-05
t=14 e5=-0.000274439 z1=-0.00316897 z2=-0.0307366 tau5=0.260302 theta=6.1062e-05
t=14.5 e5=-0.000283547 z1=-0.00327415 z2=-0.0317566 tau5=0.134582 theta=5.59862e-05
t=15 e5=-0.000312788 z1=-0.00361181 z2=-0.0350315 tau5=0 theta=5.62262e-05
实验完成。日志: arm5_backstepping_log.csv
