nomal_backstepping 配置检查通过: /home/robot/ChenHong/YCX/VRT_PPC/example/rt/arm5_backstepping_runs/20260901_171008/arm5_backstepping.cfg
  joint=5, RL/NN=absent, barrier=true
  K1=112, K2=187
  reference A=0.02 rad, omega=0.523599 rad/s
  nominal_inertia5=0.045, v_limit=50, tau_limit5=1 Nm
  sine_duration=12 s, total_time=15 s
已连接机型: XMC7-R850-W0X3B1
跳过 MoveJ，当前姿态作为第五关节正弦中心和其余关节保持位置。
已进入第五关节 No-RL 反步力矩实验。
t=0.5 e5=0.000396763 z1=0.00462799 z2=0.072003 tau5=0.233902 theta=0.05
t=1 e5=-0.000828473 z1=-0.00987896 z2=-0.100068 tau5=0.857313 theta=0.0499905
t=1.5 e5=-0.000509361 z1=-0.00629162 z2=-0.06463 tau5=0.531229 theta=0.0453752
t=2 e5=-0.000706298 z1=-0.00901815 z2=-0.0773838 tau5=0.658178 theta=0.0411973
t=2.5 e5=-0.000702461 z1=-0.00919654 z2=-0.0786336 tau5=0.668429 theta=0.0374314
t=3 e5=-0.000609284 z1=-0.00805521 z2=-0.0685243 tau5=0.580401 theta=0.034008
t=3.5 e5=-4.98004e-05 z1=-0.000654809 z2=-0.00391454 tau5=0.026727 theta=0.030825
t=4 e5=0.00030589 z1=0.0039294 z2=0.0341763 tau5=-0.295597 theta=0.0278999
t=4.5 e5=0.000515051 z1=0.00639414 z2=0.0533833 tau5=-0.454138 theta=0.0253052
t=5 e5=0.000383372 z1=0.00459055 z2=0.0487814 tau5=-0.407811 theta=0.0229526
t=5.5 e5=0.000412103 z1=0.00480706 z2=0.0562187 tau5=-0.430435 theta=0.0208163
t=6 e5=-2.13319e-05 z1=-0.00024632 z2=-0.0233331 tau5=-0.240808 theta=0.0188927
t=6.5 e5=0.000681338 z1=0.00793216 z2=0.0833927 tau5=-0.712553 theta=0.0171492
t=7 e5=0.00024532 z1=0.00293102 z2=0.0313474 tau5=-0.251097 theta=0.0155645
t=7.5 e5=0.000134974 z1=0.00167023 z2=0.0235889 tau5=-0.178494 theta=0.0141325
t=8 e5=0.000455588 z1=0.00582564 z2=0.0449092 tau5=-0.401274 theta=0.0128422
t=8.5 e5=0.000419873 z1=0.00550717 z2=0.0488353 tau5=-0.418163 theta=0.0116637
t=9 e5=0.000422091 z1=0.00558751 z2=0.0474114 tau5=-0.401743 theta=0.0106039
t=9.5 e5=-0.000174544 z1=-0.0022985 z2=-0.0222299 tau5=0.197372 theta=0.00961638
t=10 e5=-0.000506746 z1=-0.00651758 z2=-0.0575937 tau5=0.489581 theta=0.00875124
t=10.5 e5=-0.000630579 z1=-0.00783296 z2=-0.0630962 tau5=0.558161 theta=0.00802641
t=11 e5=-0.000485238 z1=-0.00581243 z2=-0.0632892 tau5=0.515438 theta=0.00733671
t=11.5 e5=0.00029257 z1=0.00340835 z2=0.0404613 tau5=0.106739 theta=0.00671674
t=12 e5=-0.000308234 z1=-0.00355922 z2=-0.0355687 tau5=0.297927 theta=0.00613695
t=12.5 e5=-0.000303201 z1=-0.0035011 z2=-0.0339578 tau5=0.287551 theta=0.00558066
t=13 e5=-0.000302722 z1=-0.00349556 z2=-0.0339041 tau5=0.287153 theta=0.00507692
t=13.5 e5=-0.000301763 z1=-0.00348449 z2=-0.0337967 tau5=0.286215 theta=0.00462099
t=14 e5=-0.000301283 z1=-0.00347896 z2=-0.033743 tau5=0.285747 theta=0.00420837
t=14.5 e5=-0.00031135 z1=-0.0035952 z2=-0.0348704 tau5=0.147758 theta=0.00383556
t=15 e5=-0.000422564 z1=-0.00487945 z2=-0.0483724 tau5=0 theta=0.00350818
实验完成。日志: arm5_backstepping_log.csv
