time,sine_active,ramp_factor,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,qd5,dqd5,ddqd5,error5,z1,z2,hx,hbeta_x5,barrier_ratio5,alpha5,alpha_dot5,mu_s5,phi5,nu_r5,term_z2_5,term_mu_5,term_nu_5,virtual_accel_unsat5,virtual_accel5,theta_hat,tau5_raw,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,alpha_saturated,alpha_dot_saturated,virtual_accel_saturated,amplitude_saturated5,rate_saturated5,abort
0.01,1,0.0002467198171,4.625910813e-05,1.31826474e-05,-1.557949238e-05,1.869539085e-05,-0.0002674878999,-9.060074028e-05,0,0,0,0,-0.007330382858,0,0.0001282083574,0.01047183196,-2.870938426e-05,-0.0003956962573,-0.004569141465,-0.04233457298,11.54734697,0,-0.003359907962,0.03500419012,0.198011618,-0.05276146184,1.007611304,-0.001074536704,2.116728649,0.05276146184,0.001074536704,2.368576265,2.368576265,0.05,0.4381866091,4.314320966e-06,-2.396844981e-05,1.725728386e-05,7.669903939e-06,0.4381866091,-5.273058958e-06,1.06442848e-09,-5.913491554e-09,4.257713919e-09,1.892317297e-09,0.0001081093201,-1.300968142e-09,0,0,0,0,0,0
0.02,1,0.0009866357859,4.601942364e-05,1.24635939e-05,-1.677791487e-05,1.893507535e-05,-0.0003401123028,-8.988168679e-05,0,0,0,0,-0.005235987756,0,0.0002329247631,0.01047140133,-5.741798145e-05,-0.000573037066,-0.006616939097,-0.0512341348,11.5475391,0,-0.004198497809,0.04599814704,0.3623367999,-0.07640936293,1.005582954,-0.001295195184,2.56170674,0.07640936293,0.001295195184,3.001748098,3.001748098,0.05,0.5553233981,4.793689962e-06,-2.253034282e-05,1.965412884e-05,7.190534943e-06,0.5553233981,-6.711165947e-06,4.729626063e-09,-2.22292425e-08,1.939146686e-08,7.094439094e-09,0.0005479019373,-6.621476488e-09,0,0,0,0,0,0
0.03,1,0.002219017698,4.601942364e-05,1.31826474e-05,-1.821602186e-05,1.917475985e-05,-0.0003775030845,-8.86832643e-05,0,0,0,0,-0.002094395102,0,0.0003376354271,0.01047068361,-8.612500448e-05,-0.0007151385116,-0.008257836717,-0.05690163569,11.54765464,0,-0.004630246202,0.05480724059,0.4566067146,-0.09535864652,1.002472995,-0.001429585465,2.845081785,0.09535864652,0.001429585465,3.398476731,3.398476731,0.05,0.6287181952,4.793689962e-06,-2.396844981e-05,2.253034282e-05,6.711165947e-06,0.6287181952,-9.108010928e-06,1.063728287e-08,-5.318641433e-08,4.999522947e-08,1.489219601e-08,0.001395136803,-2.021083745e-08,0,0,0,0,0,0
0.04,1,0.003942649343,4.649879263e-05,1.27032784e-05,-2.013349784e-05,1.893507535e-05,-0.0003894873094,-8.86832643e-05,0.001047197551,0,0,0,0,0,0.0004423374785,0.01046967883,-0.0001148296664,-0.0008318247879,-0.009605279001,-0.0620407978,11.54769407,0,-0.004768626962,0.0620407978,0.504992116,-0.1109188234,1.000389487,-0.001552228386,3.10203989,0.1109188234,0.001552228386,3.719503058,3.719503058,0.05,0.6881080657,-0.0001008848031,-2.300971182e-05,2.636529479e-05,7.190534943e-06,0.6881080657,-9.108010928e-06,-3.977534028e-07,-9.071922518e-08,1.039491122e-07,2.834975787e-08,0.002712968813,-3.59096933e-08,0,0,0,0,0,0
0.05,1,0.006155829702,4.601942364e-05,1.29429629e-05,-2.205097383e-05,1.917475985e-05,-0.0003916444699,-8.86832643e-05,0,0,0,0,0,0,0.000547028047,0.01046838703,-0.0001435311801,-0.0009386725169,-0.0108391461,-0.06866450302,11.54770129,0,-0.004793535492,0.06866450302,0.5337878767,-0.1251672214,1.000391644,-0.001717957442,3.433225151,0.1251672214,0.001717957442,4.093898207,4.093898207,0.05,0.7573711682,4.793689962e-06,-2.348908081e-05,3.020024676e-05,6.711165947e-06,0.7573711682,-9.108010928e-06,2.950913905e-08,-1.445947814e-07,1.85907576e-07,4.131279467e-08,0.004662247933,-5.60673642e-08,0,0,0,0,0,0
0.06,1,0.008856374636,4.530037014e-05,1.342233189e-05,-2.277002732e-05,1.869539085e-05,-0.0003930825769,-8.86832643e-05,0,0,0,0,0,0,0.0006517042624,0.01046680822,-0.0001722287589,-0.001044786839,-0.01206459043,-0.0752427865,11.54770612,0,-0.004810141177,0.0752427865,0.5563992994,-0.1393183448,1.000393083,-0.001882548784,3.762139325,0.1393183448,0.001882548784,4.459739518,4.459739518,0.05,0.8250518108,6.231796951e-06,-2.444781881e-05,3.163835375e-05,7.669903939e-06,0.8250518108,-9.108010928e-06,5.519112845e-08,-2.165190424e-07,2.802011137e-07,6.792754271e-08,0.00730696793,-8.066395696e-08,0,0,0,0,0,0
0.07,1,0.01204161903,4.554005464e-05,1.31826474e-05,-2.277002732e-05,1.821602186e-05,-0.0003940413149,-8.84435798e-05,0,0,0,0,0,0,0.0007563632549,0.01046494247,-0.000200921616,-0.00115040457,-0.01328435588,-0.08179037886,11.54770936,0,-0.004821211634,0.08179037886,0.5743944013,-0.1534038807,1.000394041,-0.002046371228,4.089518943,0.1534038807,0.002046371228,4.819363596,4.819363596,0.05,0.8915822653,5.752427955e-06,-2.396844981e-05,3.163835375e-05,8.628641932e-06,0.8915822653,-9.587379924e-06,6.926854593e-08,-2.886189414e-07,3.809770026e-07,1.039028189e-07,0.01073609397,-1.154475766e-07,0,0,0,0,0,0
0.08,1,0.01570841944,4.697816163e-05,1.29429629e-05,-2.277002732e-05,1.749696836e-05,-0.0003952397374,-8.86832643e-05,0,0,0,0,0,0,0.0008610021554,0.01046278981,-0.0002296089646,-0.001256241893,-0.01450672198,-0.08835171725,11.54771341,0,-0.004835049703,0.08835171725,0.5893060019,-0.1675194679,1.00039524,-0.002210539282,4.417585863,0.1675194679,0.002210539282,5.176621872,5.176621872,0.05,0.9576750463,2.876213977e-06,-2.348908081e-05,3.163835375e-05,1.006674892e-05,0.9576750463,-9.108010928e-06,4.518077554e-08,-3.689763336e-07,4.96988531e-07,1.581327144e-07,0.01504356131,-1.430724559e-07,0,0,0,0,0,0
0.09,1,0.01985315716,4.577973914e-05,1.31826474e-05,-2.300971182e-05,1.701759937e-05,-0.0003964381599,-8.89229488e-05,0,0,0,0,0,0,0.000965618095,0.01046035031,-0.0002582900185,-0.001362056255,-0.01572889701,-0.09491181801,11.54771747,0,-0.004848887773,0.09491181801,0.6015088017,-0.1816328588,1.000396438,-0.002374677156,4.7455909,0.1816328588,0.002374677156,5.531107238,5.531107238,0.05,1.023254839,5.273058958e-06,-2.396844981e-05,3.211772275e-05,1.102548691e-05,1.023254839,-8.628641932e-06,1.046868682e-07,-4.75849401e-07,6.376381974e-07,2.188907245e-07,0.02031483914,-1.713057844e-07,0,0,0,0,0,0
0.1,1,0.02447174185,4.554005464e-05,1.27032784e-05,-2.372876531e-05,1.773665286e-05,-0.0003966778444,-8.86832643e-05,0,0,0,0,0,0,0.001070208206,0.01045762403,-0.0002869639912,-0.00146688605,-0.01693978582,-0.1014111394,11.54771828,0,-0.004851655386,0.1014111394,0.6103197696,-0.1956158744,1.000396678,-0.002537290263,5.070556972,0.1956158744,0.002537290263,5.879029907,5.879029907,0.05,1.087620533,5.752427955e-06,-2.300971182e-05,3.355582973e-05,9.587379924e-06,1.087620533,-9.108010928e-06,1.407719319e-07,-5.630877277e-07,8.211696029e-07,2.346198865e-07,0.02661596891,-2.228888922e-07,0,0,0,0,0,0
