nomal_backstepping 配置检查通过: /home/robot/ChenHong/YCX/VRT_PPC/example/rt/arm5_backstepping_runs/20260901_195221/arm5_backstepping.cfg
  joint=5, RL/NN=absent, barrier=true
  K1=62, K2=50
  reference A=0.02 rad, omega=0.523599 rad/s
  nominal_inertia5=0.185, v_limit=28, tau_limit5=1 Nm
  sine_duration=12 s, total_time=15 s
已连接机型: XMC7-R850-W0X3B1
跳过 MoveJ，当前姿态作为第五关节正弦中心和其余关节保持位置。
已进入第五关节 No-RL 反步力矩实验。
t=0.5 e5=-0.00284185 z1=-0.0329851 z2=-0.170207 tau5=0.769934 theta=0.05
t=1 e5=-0.00128339 z1=-0.015281 z2=-0.0806655 tau5=0.759063 theta=0.049915
t=1.5 e5=-0.00124064 z1=-0.0152715 z2=-0.0701959 tau5=0.677165 theta=0.0219663
t=2 e5=-0.0012185 z1=-0.0155119 z2=-0.0772014 tau5=0.740353 theta=0.0105004
t=2.5 e5=-0.00123264 z1=-0.0160822 z2=-0.0776938 tau5=0.748057 theta=0.00589425
t=3 e5=-0.00118573 z1=-0.0156154 z2=-0.073054 tau5=0.705999 theta=0.00394801
t=3.5 e5=-0.000486985 z1=-0.00638459 z2=-0.0275626 tau5=0.243857 theta=0.00235655
t=4 e5=0.000209057 z1=0.00268392 z2=0.0150262 tau5=-0.162582 theta=0.000989928
t=4.5 e5=0.000525118 z1=0.00651945 z2=0.0304121 tau5=-0.279563 theta=0.000658023
t=5 e5=0.000583509 z1=0.00699206 z2=0.0440849 tau5=-0.42831 theta=0.000666772
t=5.5 e5=0.000777622 z1=0.0090772 z2=0.0404202 tau5=-0.426229 theta=0.000675518
t=6 e5=0.000643553 z1=0.00743147 z2=0.0336117 tau5=-0.319742 theta=0.000718674
t=6.5 e5=0.000796866 z1=0.00927538 z2=0.0533287 tau5=-0.52873 theta=0.000771761
t=7 e5=0.000572969 z1=0.00683807 z2=0.0363193 tau5=-0.349897 theta=0.000746572
t=7.5 e5=0.000627765 z1=0.00774974 z2=0.0318277 tau5=-0.316779 theta=0.000693666
t=8 e5=0.000493458 z1=0.00630847 z2=0.0349036 tau5=-0.332415 theta=0.000615547
t=8.5 e5=0.000480993 z1=0.00630629 z2=0.0295028 tau5=-0.284677 theta=0.000489263
t=9 e5=0.000393808 z1=0.00521413 z2=0.0244823 tau5=-0.236738 theta=0.000392014
t=9.5 e5=-0.000259153 z1=-0.00341464 z2=-0.0187401 tau5=0.20743 theta=0.000212039
t=10 e5=-0.000892398 z1=-0.0115052 z2=-0.0581057 tau5=0.586198 theta=0.000556783
t=10.5 e5=-0.00105242 z1=-0.0131014 z2=-0.0701272 tau5=0.681088 theta=0.00124615
t=11 e5=-0.000974674 z1=-0.0116961 z2=-0.0514133 tau5=0.507385 theta=0.00147389
t=11.5 e5=-0.00110048 z1=-0.0128543 z2=-0.0697677 tau5=0.741415 theta=0.00146436
t=12 e5=-0.00120825 z1=-0.013954 z2=-0.0727916 tau5=0.68077 theta=0.00119869
t=12.5 e5=-0.000419448 z1=-0.00484347 z2=-0.0260047 tau5=0.251048 theta=0.00067981
t=13 e5=-0.000419208 z1=-0.0048407 z2=-0.0259898 tau5=0.250855 theta=0.000443028
t=13.5 e5=-0.000418729 z1=-0.00483516 z2=-0.0259601 tau5=0.250493 theta=0.000346691
t=14 e5=-0.000418729 z1=-0.00483516 z2=-0.0259601 tau5=0.25053 theta=0.00030741
t=14.5 e5=-0.000430234 z1=-0.00496802 z2=-0.0266733 tau5=0.129061 theta=0.00029464
t=15 e5=-0.000546481 z1=-0.00631043 z2=-0.0338794 tau5=0 theta=0.000344753
实验完成。日志: arm5_backstepping_log.csv
