time,sine_active,ramp_factor,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,qd5,dqd5,ddqd5,error5,z1,z2,hx,hbeta_x5,barrier_ratio5,alpha5,alpha_dot5,mu_s5,phi5,nu_r5,term_z2_5,term_mu_5,term_nu_5,virtual_accel_unsat5,virtual_accel5,theta_hat,tau5_raw,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,alpha_saturated,alpha_dot_saturated,virtual_accel_saturated,amplitude_saturated5,rate_saturated5,abort
0.01,1,0.0002467198171,4.793689962e-05,1.31826474e-05,-6.471481449e-06,3.211772275e-05,-6.998787345e-05,-6.974818895e-05,0,0,0,0,-0.003141592654,0,0.0001116701271,0.01047183196,-2.870938426e-05,-0.0001816580005,-0.002097608031,-0.03395911865,11.54702871,0,-0.0008884117557,0.030817526,0.2440590323,-0.02422114016,1.003214048,-0.0008544440481,6.350355188,0.02422114016,0.0008544440481,6.619489804,6.619489804,0.05,0.2978770412,4.793689962e-07,-2.061286684e-05,4.793689962e-07,-1.006674892e-05,0.2978770412,-4.506068564e-05,1.182698311e-10,-5.085602737e-09,1.182698311e-10,-2.483666453e-09,7.349216913e-05,-1.111736412e-08,0,0,0,0,0,0
0.02,1,0.0009866357859,4.889563761e-05,1.31826474e-05,-6.711165947e-06,3.211772275e-05,-0.0001011468582,-6.807039746e-05,0,0,0,0,-0.003141592654,0,0.0002163865328,0.01047140133,-5.741798145e-05,-0.000317533391,-0.003666573784,-0.04917684398,11.54705201,0,-0.001248204559,0.04603525133,0.4778333444,-0.04233811818,1.003245207,-0.001237413499,9.196069824,0.04233811818,0.001237413499,9.7174787,9.7174787,0.05,0.4372865415,-1.438106989e-06,-2.061286684e-05,9.587379924e-07,-1.006674892e-05,0.4372865415,-4.841626862e-05,-1.418887819e-09,-2.033739207e-08,9.459252126e-10,-9.932214732e-09,0.0004314425505,-4.776922324e-08,0,0,0,0,0,0
0.03,1,0.002219017698,4.889563761e-05,1.31826474e-05,-7.430219441e-06,3.235740724e-05,-0.000128470891,-6.615292148e-05,0,0,0,0,-0.003141592654,0,0.0003210971967,0.01047068361,-8.612500448e-05,-0.0004495680877,-0.005191210143,-0.06396431258,11.5470789,0,-0.001563715072,0.06082271993,0.6607419135,-0.05994331311,1.003272531,-0.0016095912,11.96132645,0.05994331311,0.0016095912,12.68362127,12.68362127,0.05,0.5707629572,-1.438106989e-06,-2.061286684e-05,2.396844981e-06,-1.054611792e-05,0.5707629572,-5.225122059e-05,-3.19118486e-09,-4.574031633e-08,5.318641433e-09,-2.340202231e-08,0.001266533104,-1.159463832e-07,0,0,0,0,0,0
0.04,1,0.003942649343,4.817658412e-05,1.31826474e-05,-7.430219441e-06,3.259709174e-05,-0.0001466869128,-6.3516392e-05,0,0,0,0,-0.001047197551,0,0.0004257992481,0.01046967883,-0.0001148296664,-0.000572486161,-0.006610604535,-0.07563636274,11.54710018,0,-0.001774055351,0.07458916519,0.7912743444,-0.07633331282,1.001194159,-0.001895427856,14.14399983,0.07633331282,0.001895427856,15.01350292,15.01350292,0.05,0.6756076313,-0,-2.061286684e-05,2.396844981e-06,-1.102548691e-05,0.6756076313,-5.752427955e-05,-0,-8.126930589e-08,9.449919289e-09,-4.346962873e-08,0.002663683983,-2.267980629e-07,0,0,0,0,0,0
0.05,1,0.006155829702,4.889563761e-05,1.366201639e-05,-8.149272936e-06,3.331614524e-05,-0.0001553155548,-6.255765401e-05,0,0,0,0,0,0,0.0005304898166,0.01046838703,-0.0001435311801,-0.0006858053714,-0.007919197243,-0.08728072205,11.5471112,0,-0.001873690199,0.08728072205,0.878444747,-0.09144385115,1.000155316,-0.002182695907,16.32149502,0.09144385115,0.002182695907,17.29356632,17.29356632,0.05,0.7782104843,-1.438106989e-06,-2.157160483e-05,3.83495197e-06,-1.24635939e-05,0.7782104843,-5.944175553e-05,-8.852741716e-09,-1.327911257e-07,2.360731124e-08,-7.672376154e-08,0.004790531214,-3.659133243e-07,0,0,0,0,0,0
0.06,1,0.008856374636,4.817658412e-05,1.27032784e-05,-8.388957434e-06,3.355582973e-05,-0.0001601092447,-6.27973385e-05,0,0,0,0,0,0,0.000635166032,0.01046680822,-0.0001722287589,-0.0007952752767,-0.009183388021,-0.09954141634,11.54711758,0,-0.001929042887,0.09954141634,0.942027189,-0.1060416612,1.000160109,-0.002489332347,18.61424486,0.1060416612,0.002489332347,19.66480304,19.66480304,0.05,0.8849161367,-0,-1.965412884e-05,4.314320966e-06,-1.29429629e-05,0.8849161367,-5.896238653e-05,-0,-1.740643282e-07,3.820924277e-08,-1.146277283e-07,0.007837148828,-5.221929846e-07,0,0,0,0,0,0
0.07,1,0.01204161903,4.769721512e-05,1.366201639e-05,-7.909588438e-06,3.283677624e-05,-0.0001620267207,-6.207828501e-05,0,0,0,0,0,0,0.0007398250246,0.01046494247,-0.000200921616,-0.0009018517453,-0.01041422357,-0.1114784014,11.54712018,0,-0.001951183961,0.1114784014,0.9881250355,-0.1202542912,1.000162027,-0.002787863232,20.84646106,0.1202542912,0.002787863232,21.95762825,21.95762825,0.05,0.9880932714,9.587379924e-07,-2.157160483e-05,3.355582973e-06,-1.150485591e-05,0.9880932714,-6.040049352e-05,1.154475766e-08,-2.597570472e-07,4.040665179e-08,-1.385370919e-07,0.01189824274,-7.273197323e-07,0,0,0,0,0,0
0.08,1,0.01570841944,4.769721512e-05,1.31826474e-05,-7.669903939e-06,3.427488323e-05,-0.0001634648277,-6.183860051e-05,0,0,0,0,0,0.001047197551,0.000844463925,0.01046278981,-0.0002296089646,-0.001007928753,-0.01163935663,-0.1233598702,11.54712215,0,-0.001967789766,0.1233598702,1.024714276,-0.1344010728,1.000163465,-0.003085005086,23.06829572,0.1344010728,0.003085005086,24.23049607,24.23049607,0.05,1.090372323,9.587379924e-07,-2.061286684e-05,2.876213977e-06,-1.438106989e-05,1.090372323,-0.0001655996176,1.506025851e-08,-3.237955581e-07,4.518077554e-08,-2.259038777e-07,0.0171280258,-2.601308252e-06,0,0,0,0,0,0
0.09,1,0.01985315716,4.841626862e-05,1.31826474e-05,-6.950850445e-06,3.403519873e-05,-0.0001649029347,-6.040049352e-05,0,0,0,0,0,0,0.0009490798646,0.01046035031,-0.0002582900185,-0.001113982799,-0.01286429862,-0.1352392743,11.54712414,0,-0.00198439557,0.1352392743,1.054588706,-0.1485456532,1.000164903,-0.003382097017,25.28974429,0.1485456532,0.003382097017,26.49626075,26.49626075,0.05,1.192331734,-4.793689962e-07,-2.061286684e-05,1.438106989e-06,-1.390170089e-05,1.192331734,-6.37560765e-05,-9.51698802e-09,-4.092304849e-07,2.855096406e-08,-2.759926526e-07,0.0236715493,-1.265759407e-06,0,0,0,0,0,0
0.1,1,0.02447174185,4.841626862e-05,1.31826474e-05,-7.669903939e-06,3.451456773e-05,-0.0001670600952,-5.968144003e-05,0,0,0,0,0,0,0.001053669975,0.01045762403,-0.0002869639912,-0.00122073007,-0.01409732862,-0.1471969028,11.54712716,0,-0.002009304276,0.1471969028,1.080389193,-0.1627836462,1.00016706,-0.003681152209,27.52582082,0.1627836462,0.003681152209,28.77267481,28.77267481,0.05,1.294770367,-4.793689962e-07,-2.061286684e-05,2.876213977e-06,-1.486043888e-05,1.294770367,-6.519418349e-05,-1.173099433e-08,-5.044327561e-07,7.038596596e-08,-3.636608241e-07,0.03168528617,-1.595415229e-06,0,0,0,0,0,0
