nomal_backstepping 配置检查通过: /home/robot/ChenHong/YCX/VRT_PPC/example/rt/arm5_backstepping_runs/20260901_170643/arm5_backstepping.cfg
  joint=5, RL/NN=absent, barrier=true
  K1=112, K2=187
  reference A=0.02 rad, omega=0.523599 rad/s
  nominal_inertia5=0.045, v_limit=50, tau_limit5=1 Nm
  sine_duration=12 s, total_time=15 s
已连接机型: XMC7-R850-W0X3B1
跳过 MoveJ，当前姿态作为第五关节正弦中心和其余关节保持位置。
已进入第五关节 No-RL 反步力矩实验。
t=0.5 e5=0.000198784 z1=0.00231782 z2=0.0802157 tau5=0.435521 theta=0.05
t=1 e5=-0.000706473 z1=-0.00842761 z2=-0.0653854 tau5=0.657743 theta=0.0499952
t=1.5 e5=-0.000728912 z1=-0.00899406 z2=-0.088332 tau5=0.759896 theta=0.0476977
t=2 e5=-0.000544511 z1=-0.00695904 z2=-0.0643574 tau5=0.537778 theta=0.0455065
t=2.5 e5=-0.000707734 z1=-0.00926525 z2=-0.0781826 tau5=0.663789 theta=0.0434434
t=3 e5=-0.000641162 z1=-0.00847483 z2=-0.0721249 tau5=0.611177 theta=0.0414619
t=3.5 e5=-7.83228e-05 z1=-0.00102965 z2=-0.00815796 tau5=0.0623483 theta=0.0395029
t=4 e5=0.00023015 z1=0.00295509 z2=0.0278205 tau5=-0.238249 theta=0.0375832
t=4.5 e5=0.000508819 z1=0.00631658 z2=0.061067 tau5=-0.527977 theta=0.0357953
t=5 e5=0.000346221 z1=0.00414515 z2=0.0404451 tau5=-0.339895 theta=0.0340994
t=5.5 e5=0.000602173 z1=0.00702674 z2=0.0732672 tau5=-0.640178 theta=0.0324879
t=6 e5=0.00037223 z1=0.00429821 z2=0.0176024 tau5=-0.453821 theta=0.0309574
t=6.5 e5=0.000702909 z1=0.00818301 z2=0.0732483 tau5=-0.681982 theta=0.0295109
t=7 e5=0.000267132 z1=0.00319138 z2=0.0390319 tau5=-0.309579 theta=0.0281135
t=7.5 e5=0.000383526 z1=0.00474019 z2=0.027429 tau5=-0.351801 theta=0.0267951
t=8 e5=0.000442645 z1=0.00566057 z2=0.0518287 tau5=-0.449392 theta=0.0255371
t=8.5 e5=0.000369779 z1=0.00485174 z2=0.0431937 tau5=-0.369566 theta=0.0243303
t=9 e5=0.000311357 z1=0.00412478 z2=0.0349469 tau5=-0.295553 theta=0.0231797
t=9.5 e5=-0.000258674 z1=-0.00340831 z2=-0.0305743 tau5=0.267033 theta=0.0220625
t=10 e5=-0.000406797 z1=-0.00522886 z2=-0.0391387 tau5=0.323043 theta=0.0210406
t=10.5 e5=-0.000538061 z1=-0.00668057 z2=-0.0475672 tau5=0.481116 theta=0.0201068
t=11 e5=-0.000213436 z1=-0.00255416 z2=-0.0339893 tau5=0.237895 theta=0.0191958
t=11.5 e5=-0.000646754 z1=-0.00754762 z2=-0.0614907 tau5=0.598923 theta=0.0183356
t=12 e5=0.000322376 z1=0.00372252 z2=0.0444828 tau5=0.109129 theta=0.0175066
t=12.5 e5=-0.000253586 z1=-0.00292818 z2=-0.0284012 tau5=0.240501 theta=0.0166781
t=13 e5=-0.000254545 z1=-0.00293925 z2=-0.0285086 tau5=0.241519 theta=0.0158844
t=13.5 e5=-0.000254066 z1=-0.00293372 z2=-0.0284549 tau5=0.241006 theta=0.0151293
t=14 e5=-0.000253826 z1=-0.00293095 z2=-0.0284281 tau5=0.240787 theta=0.0144111
t=14.5 e5=-0.000265091 z1=-0.00306103 z2=-0.0296897 tau5=0.125843 theta=0.0137284
t=15 e5=-0.000309672 z1=-0.00357583 z2=-0.0346825 tau5=0 theta=0.0130845
实验完成。日志: arm5_backstepping_log.csv
