time,sine_active,ramp_factor,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,qd6,dqd6,ddqd6,error6,z1,z2,hx,hbeta_x6,barrier_ratio6,alpha6,alpha_dot6,mu_s6,phi6,nu_r6,term_z2_6,term_mu_6,term_nu_6,virtual_accel_unsat6,virtual_accel6,theta_hat,tau6_raw,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,alpha_saturated,alpha_dot_saturated,virtual_accel_saturated,amplitude_saturated6,rate_saturated6,abort
0.01,1,0.0002467198171,6.016080902e-05,3.715109721e-05,1.174454041e-05,0.0001409344849,3.139866925e-05,0.009710098387,0,0,0,0,0,0,0.009790849214,0.01047183196,-2.870938426e-05,-8.075082682e-05,-0.0009639494582,-0.01548552176,11.93405304,-0,0.1119467775,0.01548552176,0.08264629164,-0.01150382396,1.009710098,-0.0003946928428,0.7742760881,0.01150382396,0.0003946928428,0.8688208966,0.8688208966,0.05,0.04344104483,-0,1.917475985e-06,4.793689962e-07,1.917475985e-06,-2.396844981e-06,0.04344104483,-0,4.730793243e-10,1.182698311e-10,4.730793243e-10,-5.913491554e-10,1.071776664e-05,0,0,0,0,0,0
0.02,1,0.0009866357859,6.159891601e-05,3.619235921e-05,1.150485591e-05,0.0001402154314,3.163835375e-05,0.009711776179,0,0,0,0,0,0,0.00989556562,0.01047140133,-5.741798145e-05,-0.000183789441,-0.002194754973,-0.02188669237,11.93418891,-0,0.1119660599,0.02188669237,0.184709217,-0.02619262045,1.009711776,-0.0005578468502,1.094334619,0.02619262045,0.0005578468502,1.305794303,1.305794303,0.05,0.06528971514,-2.876213977e-06,3.83495197e-06,9.587379924e-07,3.355582973e-06,-2.876213977e-06,0.06528971514,-2.837775638e-09,3.78370085e-09,9.459252126e-10,3.310738244e-09,-2.837775638e-09,6.441716941e-05,0,0,0,0,0,0
0.03,1,0.002219017698,5.992112453e-05,3.643204371e-05,1.102548691e-05,0.0001416535384,3.163835375e-05,0.009711776179,0,0,0,0,0,0,0.01000027628,0.01047068361,-8.612500448e-05,-0.0002885001049,-0.003446420754,-0.02839620852,11.93418891,-0,0.1119660599,0.02839620852,0.2700910661,-0.04113023633,1.009711776,-0.0007237610515,1.419810426,0.04113023633,0.0007237610515,1.73175549,1.73175549,0.05,0.08658777448,4.793689962e-07,3.355582973e-06,1.917475985e-06,4.793689962e-07,-2.876213977e-06,0.08658777448,1.063728287e-09,7.446098007e-09,4.254913147e-09,1.063728287e-09,-6.38236972e-09,0.0001921398041,0,0,0,0,0,0
0.04,1,0.003942649343,6.064017802e-05,3.619235921e-05,1.150485591e-05,0.0001402154314,3.163835375e-05,0.009712974601,0,0,0,0,0,0,0.01010497834,0.01046967883,-0.0001148296664,-0.0003920037339,-0.004684597291,-0.03483515879,11.93428597,-0,0.1119798331,0.03483515879,0.3385280348,-0.05590732373,1.009712975,-0.0008878787806,1.741757939,0.05590732373,0.0008878787806,2.137081177,2.137081177,0.05,0.1068540588,-9.587379924e-07,3.83495197e-06,9.587379924e-07,3.355582973e-06,-2.876213977e-06,0.1068540588,-3.779967716e-09,1.511987086e-08,3.779967716e-09,1.322988701e-08,-1.133990315e-08,0.0004212880848,0,0,0,0,0,0
0.05,1,0.006155829702,6.159891601e-05,3.81098352e-05,1.198422491e-05,0.0001409344849,3.163835375e-05,0.009713214286,0,0,0,0,0,0,0.0102096689,0.01046838703,-0.0001435311801,-0.0004964546179,-0.005935004272,-0.04133760681,11.93430538,-0,0.1119825878,0.04133760681,0.3955908702,-0.07083015345,1.009713214,-0.001053613724,2.066880341,0.07083015345,0.001053613724,2.534354978,2.534354978,0.05,0.1267177489,-2.876213977e-06,-0,-0,1.917475985e-06,-2.876213977e-06,0.1267177489,-1.770548343e-08,-0,-0,1.180365562e-08,-1.770548343e-08,0.0007800528825,0,0,0,0,0,0
0.06,1,0.008856374636,6.016080902e-05,3.691141271e-05,1.150485591e-05,0.0001406948004,3.139866925e-05,0.009714412708,0,0,0,0,0,0,0.01031434512,0.01046680822,-0.0001722287589,-0.0005999324108,-0.007174733522,-0.04778404564,11.93440246,-0,0.1119963609,0.04778404564,0.4412244242,-0.08562615742,1.009714413,-0.001217923572,2.389202282,0.08562615742,0.001217923572,2.917270787,2.917270787,0.05,0.1458635394,-0,2.396844981e-06,9.587379924e-07,2.396844981e-06,-2.396844981e-06,0.1458635394,-0,2.12273571e-08,8.490942838e-09,2.12273571e-08,-2.12273571e-08,0.00129182215,0,0,0,0,0,0
0.07,1,0.01204161903,5.968144003e-05,3.73907817e-05,1.150485591e-05,0.0001402154314,3.163835375e-05,0.0097160905,-0.001047197551,0,0,0,0,0,0.01041900411,0.01046494247,-0.000200921616,-0.0007029136119,-0.008409481284,-0.05420411825,11.93453839,-0,0.1120156433,0.05420411825,0.4779484188,-0.1003632773,1.00971609,-0.001381563487,2.710205912,0.1003632773,0.001381563487,3.289899172,3.289899172,0.05,0.1644949586,0.0001056784931,1.438106989e-06,9.587379924e-07,3.355582973e-06,-2.876213977e-06,0.1644949586,1.272540154e-06,1.731713648e-08,1.154475766e-08,4.040665179e-08,-3.463427297e-08,0.001980785624,0,0,0,0,0,0
0.08,1,0.01570841944,6.111954702e-05,3.691141271e-05,1.150485591e-05,0.0001409344849,3.163835375e-05,0.009715611131,0,0,0,0,0,0,0.01052364301,0.01046278981,-0.0002296089646,-0.0008080318813,-0.009670688685,-0.06076218417,11.93449955,-0,0.1120101341,0.06076218417,0.5104371017,-0.1154148298,1.009715611,-0.00154871508,3.038109208,0.1154148298,0.00154871508,3.665509855,3.665509855,0.05,0.1832754927,-1.917475985e-06,2.396844981e-06,9.587379924e-07,1.917475985e-06,-2.876213977e-06,0.1832754927,-3.012051703e-08,3.765064628e-08,1.506025851e-08,3.012051703e-08,-4.518077554e-08,0.002878968312,0,0,0,0,0,0
0.09,1,0.01985315716,5.968144003e-05,3.499393672e-05,1.126517141e-05,0.0001414138539,3.187803825e-05,0.009717288922,0,0,0,0,0,0,0.01062825895,0.01046035031,-0.0002582900185,-0.0009109700294,-0.01090684167,-0.06718894262,11.9346355,-0,0.1120294164,0.06718894262,0.5346368539,-0.1301691798,1.009717289,-0.001712526893,3.359447131,0.1301691798,0.001712526893,4.025965691,4.025965691,0.05,0.2012982846,9.587379924e-07,6.231796951e-06,1.438106989e-06,9.587379924e-07,-3.355582973e-06,0.2012982846,1.903397604e-08,1.237208443e-07,2.855096406e-08,1.903397604e-08,-6.661891614e-08,0.00399640648,0,0,0,0,0,0
0.1,1,0.02447174185,5.920207103e-05,3.643204371e-05,1.078580241e-05,0.0001421329074,3.139866925e-05,0.009716809553,0,0,0,0,0,0,0.01073284906,0.01045762403,-0.0002869639912,-0.001016039509,-0.01216940499,-0.07375362586,11.93459666,-0,0.1120239072,0.07375362586,0.5568273715,-0.1452369401,1.00971681,-0.001879847232,3.687681293,0.1452369401,0.001879847232,4.391625452,4.391625452,0.05,0.2195812726,1.917475985e-06,3.355582973e-06,2.396844981e-06,-4.793689962e-07,-2.396844981e-06,0.2195812726,4.692397731e-08,8.211696029e-08,5.865497164e-08,-1.173099433e-08,-5.865497164e-08,0.005373536218,0,0,0,0,0,0
