nomal_backstepping 配置检查通过: /home/robot/ChenHong/YCX/VRT_PPC/example/rt/nomal_backstepping_runs/20260901_152145/nomal_backstepping.cfg
  joint=6, RL/NN=absent, barrier=true
  K1=62, K2=50
  reference A=0.02 rad, omega=0.523599 rad/s
  nominal_inertia6=0.0425, v_limit=28, tau_limit6=1.3 Nm
  sine_duration=24 s, total_time=27 s
已连接机型: XMC7-R850-W0X3B1
跳过 MoveJ，当前姿态作为第六关节正弦中心和其余关节保持位置。
已进入第六关节 No-RL 反步力矩实验。
t=0.5 e6=-0.00370688 z1=-0.0454269 z2=-0.220971 tau6=0.243226 theta=0.05
t=1 e6=-0.000742426 z1=-0.00976354 z2=-0.0522778 tau6=0.124179 theta=0.0499121
t=1.5 e6=-0.0011359 z1=-0.0158374 z2=-0.0660472 tau6=0.13095 theta=0.0222959
t=2 e6=-0.00123336 z1=-0.0181516 z2=-0.0795484 tau6=0.187186 theta=0.00989853
t=2.5 e6=-0.00120364 z1=-0.0184072 z2=-0.077243 tau6=0.180061 theta=0.00550334
t=3 e6=-0.000979597 z1=-0.0152209 z2=-0.0602933 tau6=0.135975 theta=0.00337229
t=3.5 e6=5.32708e-06 z1=8.24516e-05 z2=0.00304032 tau6=-0.0131924 theta=0.00159101
t=4 e6=0.00196451 z1=0.0298032 z2=0.12451 tau6=-0.296642 theta=0.00216512
t=4.5 e6=0.00354442 z1=0.0514482 z2=0.218711 tau6=-0.505346 theta=0.0099438
t=5 e6=0.00444363 z1=0.0606967 z2=0.257799 tau6=-0.580868 theta=0.0201302
t=5.5 e6=0.00424562 z1=0.0542466 z2=0.259797 tau6=-0.587167 theta=0.0220832
t=6 e6=0.00354925 z1=0.0429223 z2=0.213367 tau6=-0.467172 theta=0.0224401
t=6.5 e6=0.00400001 z1=0.0468982 z2=0.243945 tau6=-0.546989 theta=0.0209439
t=7 e6=0.00353187 z1=0.0408271 z2=0.213851 tau6=-0.474166 theta=0.0202547
t=7.5 e6=0.00367248 z1=0.0425257 z2=0.234693 tau6=-0.529303 theta=0.0207345
t=8 e6=0.00348832 z1=0.0407881 z2=0.211479 tau6=-0.448646 theta=0.0250943
t=8.5 e6=0.00355806 z1=0.0419995 z2=0.225372 tau6=-0.505003 theta=0.0211029
t=9 e6=0.00389512 z1=0.0461158 z2=0.244057 tau6=-0.54079 theta=0.0232746
t=9.5 e6=0.00312016 z1=0.0368722 z2=0.192296 tau6=-0.420367 theta=0.0215882
t=10 e6=0.00134338 z1=0.015779 z2=0.0803781 tau6=-0.169416 theta=0.0132264
t=10.5 e6=-0.000786853 z1=-0.00916137 z2=-0.0540086 tau6=0.130033 theta=0.00574659
t=11 e6=-0.000401828 z1=-0.00464038 z2=-0.0318845 tau6=0.086103 theta=0.00255744
t=11.5 e6=-0.000754372 z1=-0.00876283 z2=-0.0443913 tau6=0.10151 theta=0.00157609
t=12 e6=-0.000383256 z1=-0.00456688 z2=-0.0280073 tau6=0.0677909 theta=0.00135188
