time,sine_active,ramp_factor,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,qd6,dqd6,ddqd6,error6,z1,z2,hx,hbeta_x6,barrier_ratio6,alpha6,alpha_dot6,mu_s6,phi6,nu_r6,term_z2_6,term_mu_6,term_nu_6,virtual_accel_unsat6,virtual_accel6,theta_hat,tau6_raw,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,alpha_saturated,alpha_dot_saturated,virtual_accel_saturated,amplitude_saturated6,rate_saturated6,abort
0.01,1,0.0002467198171,5.920207103e-05,3.73907817e-05,1.27032784e-05,0.0001440503834,3.163835375e-05,0.009690683943,0,0,0,0,0,0,0.00977622846,0.01047183196,-2.870938426e-05,-8.554451678e-05,-0.001021055066,-0.0157832275,11.93248268,-0,0.1117236494,0.0157832275,0.08743948147,-0.01218372189,1.009690684,-0.0004022652557,0.7891613748,0.01218372189,0.0004022652557,0.8891868434,0.8891868434,0.05,0.03779044084,2.396844981e-06,1.438106989e-06,4.793689962e-07,-3.355582973e-06,-2.876213977e-06,0.03779044084,5.913491554e-10,3.548094933e-10,1.182698311e-10,-8.278888176e-10,-7.096189865e-10,9.323650655e-06,0,0,0,0,0,0
0.02,1,0.0009866357859,6.231796951e-05,3.81098352e-05,1.31826474e-05,0.0001423725919,3.163835375e-05,0.009691163312,0,0,0,0,0,0,0.009880944865,0.01047140133,-5.741798145e-05,-0.0001897815535,-0.002266037796,-0.022259069,11.93252141,-0,0.1117291588,0.022259069,0.1899071098,-0.02703954453,1.009691163,-0.0005673148021,1.11295345,0.02703954453,0.0005673148021,1.330467419,1.330467419,0.05,0.05654486531,-3.83495197e-06,-0,-4.793689962e-07,-0,-2.876213977e-06,0.05654486531,-3.78370085e-09,-0,-4.729626063e-10,-0,-2.837775638e-09,5.578918762e-05,0,0,0,0,0,0
0.03,1,0.002219017698,6.016080902e-05,3.715109721e-05,1.31826474e-05,0.0001426122764,3.211772275e-05,0.009691402996,0,0,0,0,0,0,0.009985655529,0.01047068361,-8.612500448e-05,-0.0002942525329,-0.003514716436,-0.02875391542,11.93254078,-0,0.1117319135,0.02875391542,0.2739807684,-0.0419394972,1.009691403,-0.0007328486911,1.437695771,0.0419394972,0.0007328486911,1.754348885,1.754348885,0.05,0.07455982762,4.793689962e-07,1.917475985e-06,-4.793689962e-07,-4.793689962e-07,-3.83495197e-06,0.07455982762,1.063728287e-09,4.254913147e-09,-1.063728287e-09,-1.063728287e-09,-8.509826294e-09,0.0001654495771,0,0,0,0,0,0
0.04,1,0.003942649343,6.135923152e-05,3.73907817e-05,1.390170089e-05,0.0001423725919,3.211772275e-05,0.009691642681,0,0,0,0,0,0,0.01009035758,0.01046967883,-0.0001148296664,-0.0003987148998,-0.004764206669,-0.03525275385,11.93256015,-0,0.1117346682,0.03525275385,0.3427798755,-0.05684918264,1.009691643,-0.0008984844814,1.762637692,0.05684918264,0.0008984844814,2.163165235,2.163165235,0.05,0.09193452249,-1.917475985e-06,1.438106989e-06,-1.917475985e-06,-0,-3.83495197e-06,0.09193452249,-7.559935431e-09,5.669951574e-09,-7.559935431e-09,-0,-1.511987086e-08,0.0003624655847,0,0,0,0,0,0
0.05,1,0.006155829702,6.111954702e-05,3.78701507e-05,1.366201639e-05,0.0001430916454,3.235740724e-05,0.009693799841,0,0,0,0,0,0,0.01019504815,0.01046838703,-0.0001435311801,-0.0005012483078,-0.005991603547,-0.04163603197,11.93273449,-0,0.1117594604,0.04163603197,0.3968631518,-0.07149621427,1.0096938,-0.00106117918,2.081801598,0.07149621427,0.00106117918,2.551222144,2.551222144,0.05,0.1084269411,-1.438106989e-06,4.793689962e-07,-1.438106989e-06,-1.438106989e-06,-4.314320966e-06,0.1084269411,-8.852741716e-09,2.950913905e-09,-8.852741716e-09,-8.852741716e-09,-2.655822515e-08,0.0006674577846,0,0,0,0,0,0
0.06,1,0.008856374636,5.992112453e-05,3.78701507e-05,1.31826474e-05,0.0001428519609,3.211772275e-05,0.009695477633,0,-0.001047197551,0,0,0,0,0.01029972436,0.01046680822,-0.0001722287589,-0.0006042467318,-0.007225483092,-0.04805275633,11.93287011,-0,0.1117787431,0.04805275633,0.4415212003,-0.08622075124,1.009695478,-0.001224726556,2.402637816,0.08622075124,0.001224726556,2.931604495,2.931604495,0.05,0.124593191,9.587379924e-07,0.0001051991241,-4.793689962e-07,-9.587379924e-07,-3.83495197e-06,0.124593191,8.490942838e-09,9.316828545e-07,-4.245471419e-09,-8.490942838e-09,-3.396377135e-08,0.001103443977,0,0,0,0,0,0
0.07,1,0.01204161903,6.064017802e-05,3.83495197e-05,1.27032784e-05,0.0001423725919,3.163835375e-05,0.009696436371,0,0,0,0,0,0,0.01040438336,0.01046494247,-0.000200921616,-0.0007079469863,-0.008468681113,-0.05451781014,11.93294762,-0,0.1117897619,0.05451781014,0.4789842004,-0.1010563282,1.009696436,-0.001389504823,2.725890507,0.1010563282,0.001389504823,3.30732054,3.30732054,0.05,0.140561123,-4.793689962e-07,-4.793689962e-07,4.793689962e-07,-0,-2.876213977e-06,0.140561123,-5.772378828e-09,-5.772378828e-09,5.772378828e-09,-0,-3.463427297e-08,0.001692583493,0,0,0,0,0,0
0.08,1,0.01570841944,5.992112453e-05,3.76304662e-05,1.27032784e-05,0.0001428519609,3.187803825e-05,0.009698593531,0,0,0,0,0,0,0.01050902226,0.01046278981,-0.0002296089646,-0.0008104287263,-0.009698291828,-0.06091148347,11.93312205,-0,0.1118145539,0.06091148347,0.5084557929,-0.1157309001,1.009698594,-0.00155246811,3.045574174,0.1157309001,0.00155246811,3.671313335,3.671313335,0.05,0.1560308167,9.587379924e-07,9.587379924e-07,4.793689962e-07,-9.587379924e-07,-3.355582973e-06,0.1560308167,1.506025851e-08,1.506025851e-08,7.530129257e-09,-1.506025851e-08,-5.27109048e-08,0.002450997514,0,0,0,0,0,0
0.09,1,0.01985315716,6.111954702e-05,3.595267472e-05,1.31826474e-05,0.0001426122764,3.211772275e-05,0.009698833216,0,0,0,0,0,0,0.0106136382,0.01046035031,-0.0002582900185,-0.0009148049814,-0.01095147275,-0.06742809868,11.93314144,-0,0.1118173086,0.06742809868,0.5346616348,-0.1306854733,1.009698833,-0.001718559731,3.371404934,0.1306854733,0.001718559731,4.038470602,4.038470602,0.05,0.1716350006,-1.438106989e-06,4.314320966e-06,-4.793689962e-07,-4.793689962e-07,-3.83495197e-06,0.1716350006,-2.855096406e-08,8.565289218e-08,-9.51698802e-09,-9.51698802e-09,-7.613590416e-08,0.003407496641,0,0,0,0,0,0
0.1,1,0.02447174185,6.087986252e-05,3.76304662e-05,1.366201639e-05,0.0001430916454,3.187803825e-05,0.009699312585,0,0,0,0,0,0,0.01071822831,0.01045762403,-0.0002869639912,-0.001018915723,-0.01220245761,-0.0739329545,11.93318021,-0,0.1118228179,0.0739329545,0.55581425,-0.1456141256,1.009699313,-0.001884352688,3.696647725,0.1456141256,0.001884352688,4.399960453,4.399960453,0.05,0.1869983193,-9.587379924e-07,9.587379924e-07,-1.438106989e-06,-1.438106989e-06,-3.355582973e-06,0.1869983193,-2.346198865e-08,2.346198865e-08,-3.519298298e-08,-3.519298298e-08,-8.211696029e-08,0.004576174596,0,0,0,0,0,0
