scan_index,repeat,run_dir,nominal_inertia6,k1_6,k2_6,absolute_error_integral_rad_s,error_rms_rad,virtual_accel_saturation_fraction,aborted,result_image
1,1,20260901_153535,0.0475,50,40,0.073497456,0.003656763,0.000000,false,20260901_153535/nomal_backstepping_result.png
2,2,20260901_153614,0.0475,50,40,0.073784379,0.003682831,0.000000,false,20260901_153614/nomal_backstepping_result.png
3,1,20260901_153833,0.0500,50,40,0.073052986,0.003541993,0.000000,false,20260901_153833/nomal_backstepping_result.png
4,2,20260901_154206,0.0500,50,40,0.064334734,0.003284607,0.000000,false,20260901_154206/nomal_backstepping_result.png
5,1,20260901_153913,0.0525,50,40,0.066820584,0.003371356,0.000000,false,20260901_153913/nomal_backstepping_result.png
6,2,20260901_154048,0.0525,50,40,0.066664700,0.003346782,0.000000,false,20260901_154048/nomal_backstepping_result.png
7,1,20260901_154126,0.0550,50,40,0.064028138,0.003242025,0.000000,false,20260901_154126/nomal_backstepping_result.png
8,2,20260901_154206,0.0550,50,40,0.064334734,0.003284607,0.000000,false,20260901_154206/nomal_backstepping_result.png
9,1,20260901_154339,0.0575,50,40,0.061360478,0.003116302,0.000000,false,20260901_154339/nomal_backstepping_result.png
10,2,20260901_154455,0.0575,50,40,0.061007094,0.003081416,0.000000,false,20260901_154455/nomal_backstepping_result.png
