round,run_dir,k1_6,k2_6,nominal_inertia6,theta_initial,gamma_theta,sigma_theta,absolute_error_integral_rad_s,error_rms_rad,error_peak_rad,virtual_accel_saturation_fraction,aborted,result_image
1,20260901_150049,46,40,0.05,0.05,1.5,1.8,0.044166763,0.003839682,0.006517207,0.000000,false,20260901_150049/nomal_backstepping_result.png
2,20260901_150121,40,40,0.05,0.05,1.5,1.8,0.049374965,0.004263010,0.007244410,0.000000,false,20260901_150121/nomal_backstepping_result.png
3,20260901_150151,52,40,0.05,0.05,1.5,1.8,0.040241453,0.003435987,0.005674267,0.000000,false,20260901_150151/nomal_backstepping_result.png
4,20260901_150217,55,40,0.05,0.05,1.5,1.8,0.038725867,0.003314241,0.005427708,0.000000,false,20260901_150217/nomal_backstepping_result.png
5,20260901_150243,58,40,0.05,0.05,1.5,1.8,0.032934553,0.002957343,0.005228238,0.000000,false,20260901_150243/nomal_backstepping_result.png
6,20260901_150319,60,40,0.05,0.05,1.5,1.8,0.030671675,0.002906354,0.005090540,0.000000,false,20260901_150319/nomal_backstepping_result.png
7,20260901_150346,62,40,0.05,0.05,1.5,1.8,0.029300052,0.002867108,0.004932363,0.000000,false,20260901_150346/nomal_backstepping_result.png
8,20260901_150447,62,45,0.05,0.05,1.5,1.8,0.026215688,0.002568750,0.004356187,0.000000,false,20260901_150447/nomal_backstepping_result.png
9,20260901_150528,62,50,0.05,0.05,1.5,1.8,0.024181351,0.002256274,0.004011135,0.000000,false,20260901_150528/nomal_backstepping_result.png
10,20260901_150619,62,50,0.05,0.05,1.0,1.8,0.024348386,0.002298803,0.004062721,0.000000,false,20260901_150619/nomal_backstepping_result.png
