round,run_dir,k1_6,k2_6,nominal_inertia6,theta_initial,gamma_theta,sigma_theta,error_rms_rad,error_peak_rad,virtual_accel_saturation_fraction,aborted,result_image
1,20260901_115332,6,10,0.02,0.05,0.05,0.10,0.014200971,0.020408422,0.000000,false,20260901_115332/nomal_backstepping_result.png
2,20260901_115429,6,10,0.05,0.05,0.05,0.10,0.015330694,0.024991599,0.000000,false,20260901_115429/nomal_backstepping_result.png
3,20260901_115504,10,20,0.02,0.05,0.05,0.10,0.014151914,0.020377948,0.000000,false,20260901_115504/nomal_backstepping_result.png
4,20260901_115534,12,24,0.02,0.05,0.05,0.10,0.016150293,0.026180846,0.260000,false,20260901_115534/nomal_backstepping_result.png
5,20260901_115606,10,20,0.02,0.05,0.20,0.05,0.015112628,0.023223996,0.000000,false,20260901_115606/nomal_backstepping_result.png
6,20260901_115635,10,20,0.02,0.05,0.05,0.10,0.014260175,0.020779556,0.028000,false,20260901_115635/nomal_backstepping_result.png
7,20260901_115716,10,20,0.02,0.00,0.05,0.10,0.014158842,0.020226981,0.061333,false,20260901_115716/nomal_backstepping_result.png
8,20260901_115746,8,16,0.02,0.05,0.05,0.10,0.014139003,0.020048896,0.000000,false,20260901_115746/nomal_backstepping_result.png
9,20260901_115814,8,16,0.018,0.05,0.05,0.10,0.014139157,0.020038315,0.000000,false,20260901_115814/nomal_backstepping_result.png
10,20260901_115843,8,16,0.02,0.05,0.02,0.10,0.014142222,0.020074302,0.000000,false,20260901_115843/nomal_backstepping_result.png
