time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,dq1,dq2,dq3,dq4,dq5,dq6,error1,error2,error3,error4,error5,error6,z11,z12,z13,z14,z15,z16,z21,z22,z23,z24,z25,z26,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha_dot1,alpha_dot2,alpha_dot3,alpha_dot4,alpha_dot5,alpha_dot6,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,mass_diag1,mass_diag2,mass_diag3,mass_diag4,mass_diag5,mass_diag6,barrier_ratio1,barrier_ratio2,barrier_ratio3,barrier_ratio4,barrier_ratio5,barrier_ratio6,theta_hat,sigma_g1,sigma_g2,abort
0.01,2.109223583e-05,-0.0001608282982,-0.000255024306,-0.0002188319468,3.115898475e-06,-9.491506125e-05,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.005235987756,-0.009424777961,-0.004188790205,0,0,2.037318234e-05,-0.0001632251432,-0.000258379889,-0.0002212287918,2.876213977e-06,-9.539443025e-05,0.0001176246238,-0.0009423815302,-0.00149175988,-0.001703024339,2.214110532e-05,-0.0009179339973,0,0,0,0,2.818689737e-05,0,0,0,0,0,-2.818689737e-05,0,0,0,0,0,0.000156629309,0,0,0,0,0,-0.0001026089989,0,0,0,0,0,-6.329308778e-09,0,0,0,0,0,0.2579026139,0,0.0001176246223,-0.0009423806942,-0.001491756562,-0.001703019401,2.214110533e-05,-0.0009179332248,0.05,1,1,0
0.02,2.133192033e-05,-0.0002169144708,-0.0003468234688,-0.0002660497929,2.876213977e-06,-9.707222173e-05,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.006283185307,-0.007330382858,-0.004188790205,0,0,2.061286684e-05,-0.0002193113158,-0.0003501790517,-0.0002684466379,2.636529479e-06,-9.755159073e-05,0.0001190084429,-0.00126619624,-0.002021766916,-0.002066510884,2.029601321e-05,-0.0009386913304,0,0,0,0,2.583798926e-05,0,0,0,0,0,-2.583798926e-05,0,0,0,0,0,0.0001621986024,0,0,0,0,0,-8.925565454e-05,0,0,0,0,0,-2.202113877e-08,0,0,0,0,0,0.2579026138,0,0.0001190084413,-0.001266194212,-0.002021758654,-0.002066502061,2.029601322e-05,-0.0009386905043,0.05,1,1,0
0.03,2.277002732e-05,-0.0002744387503,-0.0004414988455,-0.0002967294087,1.917475985e-06,-9.755159073e-05,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.005235987756,-0.007330382858,-0.001047197551,0,0,2.205097383e-05,-0.0002768355953,-0.0004448544285,-0.0002991262536,1.677791487e-06,-9.803095973e-05,0.0001273113578,-0.001598314618,-0.002568383049,-0.002302685636,1.291564477e-05,-0.0009433040714,0,0,0,0,1.644235681e-05,0,0,0,0,0,-1.644235681e-05,0,0,0,0,0,0.000235639457,0,0,0,0,0,-2.264703033e-05,0,0,0,0,0,-1.25705177e-08,0,0,0,0,0,0.2579026138,0,0.0001273113558,-0.001598310536,-0.002568366109,-0.002302673429,1.291564478e-05,-0.000943303233,0.05,1,1,0
0.04,2.324939632e-05,-0.0003456250463,-0.0005313805323,-0.0003135073235,1.198422491e-06,-9.875001322e-05,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.007330382858,-0.00837758041,-0.001047197551,0,0,2.253034282e-05,-0.0003480218913,-0.0005347361153,-0.0003159041685,9.587379924e-07,-9.922938222e-05,0.0001300789961,-0.002009312412,-0.00308732613,-0.002431843984,7.380368438e-06,-0.0009548359243,0,0,0,0,9.395632463e-06,0,0,0,0,0,-9.395632463e-06,0,0,0,0,0,0.0002819567131,0,0,0,0,0,2.504933782e-05,0,0,0,0,0,2.471457311e-08,0,0,0,0,0,0.2579026138,0,0.000130078994,-0.002009304302,-0.003087296707,-0.002431829605,7.380368445e-06,-0.0009548350547,0.05,1,1,0
0.05,2.348908081e-05,-0.0004160922887,-0.0006169478981,-0.0003233343879,1.198422491e-06,-9.898969772e-05,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.005235987756,-0.007330382858,0,0,0,2.277002732e-05,-0.0004184891337,-0.0006203034811,-0.0003257312329,9.587379924e-07,-9.946906671e-05,0.0001314628152,-0.002416160467,-0.003581363988,-0.002507493972,7.380368438e-06,-0.000957142295,0,0,0,0,9.395632463e-06,0,0,0,0,0,-9.395632463e-06,0,0,0,0,0,0.000255876799,0,0,0,0,0,1.83232598e-05,0,0,0,0,0,2.824224744e-08,0,0,0,0,0,0.2579026137,0,0.0001314628131,-0.002416146364,-0.003581318058,-0.002507478208,7.380368445e-06,-0.0009571414191,0.05,1,1,0
0.06,2.324939632e-05,-0.0004848817397,-0.000690531039,-0.0003281280779,7.190534943e-07,-9.827064422e-05,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.006283185307,-0.007330382858,-0.001047197551,0,0,2.253034282e-05,-0.0004872785847,-0.000693886622,-0.0003305249229,4.793689962e-07,-9.875001322e-05,0.0001300789961,-0.002813323686,-0.004006212515,-0.002544396432,3.690184219e-06,-0.0009502231831,0,0,0,0,4.697816232e-06,0,0,0,0,0,-4.697816232e-06,0,0,0,0,0,0.0002776592861,0,0,0,0,0,4.777503792e-05,0,0,0,0,0,1.060136547e-07,0,0,0,0,0,0.2579026138,0,0.000130078994,-0.002813301422,-0.004006148222,-0.002544379962,3.690184222e-06,-0.0009502223261,0.05,1,1,0
0.07,2.372876531e-05,-0.0005483981317,-0.0007478156341,-0.0003310042919,7.190534943e-07,-9.875001322e-05,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.004188790205,-0.004188790205,0,0,0,2.300971182e-05,-0.0005507949767,-0.0007511712171,-0.0003334011369,4.793689962e-07,-9.922938222e-05,0.0001328466344,-0.003180044399,-0.004336960393,-0.002566537917,3.690184219e-06,-0.0009548359243,0,0,0,0,4.697816232e-06,0,0,0,0,0,-4.697816232e-06,0,0,0,0,0,0.0002519991739,0,0,0,0,0,4.115722792e-05,0,0,0,0,0,1.242751664e-07,0,0,0,0,0,0.2579026138,0,0.0001328466321,-0.003180012244,-0.004336878825,-0.002566521013,3.690184222e-06,-0.0009548350547,0.05,1,1,0
0.08,2.444781881e-05,-0.0006006493523,-0.0007789746188,-0.0003312439764,4.793689962e-07,-9.875001322e-05,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.004188790205,-0.001047197551,0,0,0,2.372876531e-05,-0.0006030461972,-0.0007823302018,-0.0003336408214,2.396844981e-07,-9.922938222e-05,0.0001369980918,-0.003481725752,-0.004516866129,-0.002568383041,1.845092109e-06,-0.0009548359243,0,0,0,0,2.348908116e-06,0,0,0,0,0,-2.348908116e-06,0,0,0,0,0,0.0002502683614,0,0,0,0,0,5.262785569e-05,0,0,0,0,0,2.074931807e-07,0,0,0,0,0,0.2579026138,0,0.0001369980894,-0.003481683549,-0.004516773984,-0.002568366101,1.845092111e-06,-0.0009548350547,0.05,1,1,0
0.09,2.468750331e-05,-0.0006442719309,-0.0007890413678,-0.0003338805059,2.396844981e-07,-0.0001001881202,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.003141592654,0,0,0,0,2.396844981e-05,-0.0006466687759,-0.0007923969507,-0.0003362773508,0,-0.0001006674892,0.000138381911,-0.003733589434,-0.004574989684,-0.002588679408,0,-0.0009686741487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000249157006,0,0,0,0,0,6.425824307e-05,0,0,0,0,0,3.205311137e-07,0,0,0,0,0,0.2579026137,0,0.0001383819085,-0.003733537394,-0.004574893936,-0.002588662064,0,-0.0009686732407,0.05,1,1,0
0.1,2.49271878e-05,-0.0006821420816,-0.0007885619988,-0.0003377154578,2.396844981e-07,-0.0001004278047,7.190534943e-07,2.396844981e-06,3.355582973e-06,2.396844981e-06,2.396844981e-07,4.793689962e-07,0,-0.003141592654,0,0,0,0,2.420813431e-05,-0.0006845389266,-0.0007919175817,-0.0003401123028,0,-0.0001009071737,0.0001397657301,-0.003952241327,-0.004572221894,-0.002618201407,0,-0.0009709805195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002264614199,0,0,0,0,0,5.84049921e-05,0,0,0,0,0,3.595311851e-07,0,0,0,0,0,0.2579026137,0,0.0001397657275,-0.003952179598,-0.004572126319,-0.002618183462,0,-0.000970979605,0.05,1,1,0
