配置检查通过: /home/robot/ChenHong/YCX/VRT_PPC/example/rt/tuning_runs/20260803_192403/trial_02/optimal_backstepping_torque.cfg
  hardware_enable=true, ready_pose_confirmed=true, perform_ready_move=true
  robot_ip=192.168.2.200, local_ip=192.168.2.100
  barrier=true, constraint_schedule=true, RL=false, learning=false
  network=joint Z1/Z2(6/6), rbf_nodes=64, Halton=simulation first 25 + continuation, actor_direction_projection=false
  rbf_center=[-1.5,1.5], rbf_width=1.02, standardized_clip=4, initial_weight_seed=21
  pseudo_huber=residual col(Bellman,eP), eps=(0.04,0.08)
  mass_model=xMateCR7 URDF full M(q) / fixed M_456,456, controlled_joints=5, inactive_joints_fixed=true
  urdf_inertia_acknowledged=false
  注意：未确认的 URDF 惯性参数会产生警告，但不再阻止运行；质量矩阵数值健康检查仍保持启用。
即将连接真实机械臂 192.168.2.200（本机 192.168.2.100）。请确认急停可用且工作区无人。
已连接机型: XMC7-R850-W0X3B1
MoveJ 到已确认的准备位姿，速度系数=0.05
已进入 1 kHz 实时力矩模式。
t=0.5 e456=[-0.000374148, 0, -0.000111693] tau456=[0, 1.50136e-06, 0] theta=0.05
t=1 e456=[-0.00038781, -9.58738e-07, -0.000113131] tau456=[0, 2.06151e-05, 0] theta=0.05
t=1.5 e456=[-0.000400513, -0.000221382, -0.00011361] tau456=[0, 0.0138067, 0] theta=0.05
t=2 e456=[-0.000411299, -0.00149366, -0.00011361] tau456=[0, 0.0842462, 0] theta=0.05
t=2.5 e456=[-0.000416092, -0.00380603, -0.00011409] tau456=[0, 0.103161, 0] theta=0.05
t=3 e456=[-0.000418969, -0.00590777, -0.00011433] tau456=[0, 0.103161, 0] theta=0.05
t=3.5 e456=[-0.000421126, -0.00732305, -0.000114569] tau456=[0, 0.103161, 0] theta=0.05
t=4 e456=[-0.000421845, -0.00869667, -0.000114569] tau456=[0, 0.103161, 0] theta=0.05
t=4.5 e456=[-0.000423762, -0.0100214, -0.000114569] tau456=[0, 0.103161, 0] theta=0.05
t=5 e456=[-0.000426878, -0.01129, -0.00011433] tau456=[0, 0.103161, 0] theta=0.05
t=5.5 e456=[-0.000431911, -0.0124955, -0.000114569] tau456=[0, 0.103161, 0] theta=0.05
t=6 e456=[-0.000436465, -0.0136306, -0.000114809] tau456=[0, 0.103161, 0] theta=0.05
t=6.5 e456=[-0.000437904, -0.0146883, -0.00011409] tau456=[0, 0.103161, 0] theta=0.05
t=7 e456=[-0.00044078, -0.0156637, -0.00011433] tau456=[0, 0.103161, 0] theta=0.05
t=7.5 e456=[-0.000441978, -0.0165512, -0.000115288] tau456=[0, 0.103161, 0] theta=0.05
t=8 e456=[-0.000442937, -0.0173461, -0.000116007] tau456=[0, 0.103161, 0] theta=0.05
t=8.5 e456=[-0.000443656, -0.0180427, -0.000115288] tau456=[0, 0.103161, 0] theta=0.05
