配置检查通过: /home/robot/ChenHong/YCX/VRT_PPC/example/rt/tuning_runs/20260803_192403/trial_03/optimal_backstepping_torque.cfg
  hardware_enable=true, ready_pose_confirmed=true, perform_ready_move=true
  robot_ip=192.168.2.200, local_ip=192.168.2.100
  barrier=true, constraint_schedule=true, RL=false, learning=false
  network=joint Z1/Z2(6/6), rbf_nodes=64, Halton=simulation first 25 + continuation, actor_direction_projection=false
  rbf_center=[-1.5,1.5], rbf_width=1.02, standardized_clip=4, initial_weight_seed=21
  pseudo_huber=residual col(Bellman,eP), eps=(0.04,0.08)
  mass_model=xMateCR7 URDF full M(q) / fixed M_456,456, controlled_joints=5, inactive_joints_fixed=true
  urdf_inertia_acknowledged=false
  注意：未确认的 URDF 惯性参数会产生警告，但不再阻止运行；质量矩阵数值健康检查仍保持启用。
即将连接真实机械臂 192.168.2.200（本机 192.168.2.100）。请确认急停可用且工作区无人。
已连接机型: XMC7-R850-W0X3B1
MoveJ 到已确认的准备位姿，速度系数=0.05
已进入 1 kHz 实时力矩模式。
t=0.5 e456=[-0.000354254, 1.19842e-06, -0.000103544] tau456=[0, -7.68911e-06, 0] theta=0.05
t=1 e456=[-0.000374387, -7.19053e-07, -0.000104982] tau456=[0, 2.48288e-05, 0] theta=0.05
t=1.5 e456=[-0.000389008, -0.000220183, -0.000107139] tau456=[0, 0.0147595, 0] theta=0.05
t=2 e456=[-0.000391884, -0.00149294, -0.000107139] tau456=[0, 0.0910904, 0] theta=0.05
t=2.5 e456=[-0.00039476, -0.00380531, -0.000107858] tau456=[0, 0.103161, 0] theta=0.05
t=3 e456=[-0.00040243, -0.00590705, -0.000108337] tau456=[0, 0.103161, 0] theta=0.05
t=3.5 e456=[-0.000408662, -0.00732209, -0.000108337] tau456=[0, 0.103161, 0] theta=0.05
t=4 e456=[-0.000409621, -0.00869572, -0.000109296] tau456=[0, 0.103161, 0] theta=0.05
t=4.5 e456=[-0.000412976, -0.0100207, -0.000110015] tau456=[0, 0.103161, 0] theta=0.05
t=5 e456=[-0.000415853, -0.011289, -0.000110255] tau456=[0, 0.103161, 0] theta=0.05
t=5.5 e456=[-0.00041753, -0.0124939, -0.000109776] tau456=[0, 0.103161, 0] theta=0.05
t=6 e456=[-0.00041753, -0.0136297, -0.000109776] tau456=[0, 0.103161, 0] theta=0.05
t=6.5 e456=[-0.000419688, -0.0146874, -0.000109776] tau456=[0, 0.103161, 0] theta=0.05
t=7 e456=[-0.000421126, -0.0156629, -0.000110255] tau456=[0, 0.103161, 0] theta=0.05
t=7.5 e456=[-0.000420407, -0.0165502, -0.000110974] tau456=[0, 0.103161, 0] theta=0.05
t=8 e456=[-0.000419927, -0.0173449, -0.000110015] tau456=[0, 0.103161, 0] theta=0.05
t=8.5 e456=[-0.000420886, -0.0180418, -0.000110015] tau456=[0, 0.103161, 0] theta=0.05
t=9 e456=[-0.000419927, -0.0186372, -0.000110255] tau456=[0, 0.103161, 0] theta=0.05
t=9.5 e456=[-0.000420646, -0.0191276, -0.000110255] tau456=[0, 0.103161, 0] theta=0.05
t=10 e456=[-0.000421365, -0.0195109, -0.000110255] tau456=[0, 0.103161, 0] theta=0.05
t=10.5 e456=[-0.000422324, -0.0197845, -0.000110255] tau456=[0, 0.103161, 0] theta=0.05
t=11 e456=[-0.000421605, -0.0199463, -0.000110255] tau456=[0, 0.103161, 0] theta=0.05
t=11.5 e456=[-0.000422564, -0.0199962, -0.000110015] tau456=[0, 0.103161, 0] theta=0.05
t=12 e456=[-0.000422564, -0.0199335, -0.000109536] tau456=[0, 0.103161, 0] theta=0.05
t=12.5 e456=[-0.000422084, -0.0197591, -0.000110015] tau456=[0, 0.103161, 0] theta=0.05
t=13 e456=[-0.000424242, -0.0194731, -0.000110015] tau456=[0, 0.103161, 0] theta=0.05
t=13.5 e456=[-0.000424721, -0.0190781, -0.000110015] tau456=[0, 0.103161, 0] theta=0.05
t=14 e456=[-0.00042544, -0.0185754, -0.000109296] tau456=[0, 0.103161, 0] theta=0.05
t=14.5 e456=[-0.000423043, -0.0179689, -0.000109776] tau456=[0, 0.103161, 0] theta=0.05
t=15 e456=[-0.000424002, -0.0172604, -0.000110495] tau456=[0, 0.103161, 0] theta=0.05
t=15.5 e456=[-0.000423043, -0.0164553, -0.000110495] tau456=[0, 0.103161, 0] theta=0.05
t=16 e456=[-0.000424002, -0.0155583, -0.000110015] tau456=[0, 0.103161, 0] theta=0.05
t=16.5 e456=[-0.000424481, -0.0145727, -0.000110734] tau456=[0, 0.103161, 0] theta=0.05
t=17 e456=[-0.000424242, -0.0135059, -0.000109536] tau456=[0, 0.103161, 0] theta=0.05
t=17.5 e456=[-0.000424961, -0.0123626, -0.000109776] tau456=[0, 0.103161, 0] theta=0.05
t=18 e456=[-0.00042544, -0.0111503, -0.000109296] tau456=[0, 0.103161, 0] theta=0.05
t=18.5 e456=[-0.000424002, -0.00987457, -0.000110255] tau456=[0, 0.103161, 0] theta=0.05
t=19 e456=[-0.000424961, -0.00854424, -0.000110015] tau456=[0, 0.103161, 0] theta=0.05
t=19.5 e456=[-0.000424481, -0.00716562, -0.000110015] tau456=[0, 0.103161, 0] theta=0.05
t=20 e456=[-0.000425919, -0.00574644, -0.000110495] tau456=[0, 0.103161, 0] theta=0.05
实验按设定时长结束。日志: optimal_backstepping_log.csv
警告：厂家 URDF 惯性参数尚未通过物理一致性确认；程序将按当前配置继续运行。
      当前 M(q) 只能视为候选模型，请保持保守力矩/加速度限制并确保急停可用。
      若已完成人工核实，可设置 acknowledge_unverified_urdf_inertia=true 以消除此警告。
