time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,dq1,dq2,dq3,dq4,dq5,dq6,error1,error2,error3,error4,error5,error6,z11,z12,z13,z14,z15,z16,z21,z22,z23,z24,z25,z26,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha_dot1,alpha_dot2,alpha_dot3,alpha_dot4,alpha_dot5,alpha_dot6,tau_raw1,tau_raw2,tau_raw3,tau_raw4,tau_raw5,tau_raw6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,mass_diag1,mass_diag2,mass_diag3,mass_diag4,mass_diag5,mass_diag6,barrier_ratio1,barrier_ratio2,barrier_ratio3,barrier_ratio4,barrier_ratio5,barrier_ratio6,theta_hat,sigma_g1,sigma_g2,abort
0.01,2.109223583e-05,-0.0001936650745,-0.0002468750331,-0.0002360892306,-0.001152163382,-0.000128470891,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.004188790205,-0.007330382858,-0.003141592654,-0.04817108736,0,2.133192033e-05,-0.0001960619195,-0.000247833771,-0.0002368082841,-0.001155998334,-0.000129429629,0.0001231599003,-0.001131965282,-0.001430871499,-0.001822956305,-0.006067613138,-0.001245438859,0,0,0,0,-0.0585744022,0,0,0,0,0,0.01040331484,0,0,0,0,0,0.03554602391,0,0,0,0,0,0.2141822392,0,0,0,0,0,1.321156566e-05,0,0,0,0,0,0.2579026123,0,0.0001231598986,-0.001131963833,-0.001430868571,-0.001822950249,-0.006067389776,-0.001245436928,0.05,1,1,0
0.02,2.205097383e-05,-0.000254544937,-0.0003197391205,-0.0002732403278,-0.00165717862,-0.0001287105755,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.006283185307,-0.006283185307,-0.002094395102,-0.04921828491,0,2.229065832e-05,-0.000256941782,-0.0003206978585,-0.0002739593813,-0.001661013572,-0.0001296693135,0.0001286951769,-0.001483456917,-0.001851555492,-0.002108948488,-0.00871864007,-0.001247745233,0,0,0,0,-0.06416541897,0,0,0,0,0,0.01494713407,0,0,0,0,0,0.0755968358,0,0,0,0,0,0.2468878387,0,0,0,0,0,6.091212241e-05,0,0,0,0,0,0.2579026123,0,0.0001286951749,-0.001483453654,-0.001851549146,-0.002108939111,-0.008717977435,-0.001247743292,0.05,1,1,0
0.03,2.205097383e-05,-0.0003221359655,-0.0003892476249,-0.0002948119327,-0.002178252719,-0.0001282312065,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.006283185307,-0.006283185307,-0.001047197551,-0.05026548246,0,2.229065832e-05,-0.0003245328104,-0.0003902063629,-0.0002955309862,-0.002182087671,-0.0001291899445,0.0001286951769,-0.001873696799,-0.002252867478,-0.002275008874,-0.01145430462,-0.001243132484,0,0,0,0,-0.06989976423,0,0,0,0,0,0.01963428178,0,0,0,0,0,0.1131765622,0,0,0,0,0,0.2579026123,0,0,0,0,0,0.0001431520737,0,0,0,0,0,0.2579026123,0,0.0001286951749,-0.001873690223,-0.002252856046,-0.002274997101,-0.0114528022,-0.001243130565,0.05,1,1,0
0.04,2.205097383e-05,-0.0003911651009,-0.000448449696,-0.0003020024676,-0.002673201207,-0.0001282312065,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.005235987756,-0.005235987756,0,-0.05026548246,0,2.229065832e-05,-0.0003935619459,-0.000449408434,-0.0003027215211,-0.002677036159,-0.0001291899445,0.0001286951769,-0.002272241205,-0.002594676072,-0.002330362407,-0.01405322339,-0.001243132484,0,0,0,0,-0.07435048584,0,0,0,0,0,0.02408500339,0,0,0,0,0,0.1449049292,0,0,0,0,0,0.2579026123,0,0,0,0,0,0.0002544559466,0,0,0,0,0,0.2579026123,0,0.0001286951749,-0.002272229476,-0.002594658606,-0.002330349755,-0.01405044909,-0.001243130565,0.05,1,1,0
0.05,2.253034282e-05,-0.0004587561294,-0.0005002215475,-0.0003067961576,-0.003155686102,-0.000127991522,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.005235987756,-0.005235987756,0,-0.0471238898,0,2.277002732e-05,-0.0004611529744,-0.0005011802855,-0.0003075152111,-0.003159521054,-0.00012895026,0.0001314628152,-0.002662484437,-0.002893586909,-0.002367264784,-0.01658717591,-0.00124082611,0,0,0,0,-0.075545899,0,0,0,0,0,0.0284220092,0,0,0,0,0,0.1724916181,0,0,0,0,0,0.2579026124,0,0,0,0,0,0.0003975138416,0,0,0,0,0,0.2579026124,0,0.0001314628131,-0.002662465566,-0.002893562684,-0.00236725152,-0.01658261473,-0.001240824201,0.05,1,1,0
0.06,2.277002732e-05,-0.0005229915749,-0.0005373726448,-0.0003091930026,-0.00361276444,-0.000127991522,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.006283185307,-0.002094395102,0,-0.0429350996,0,2.300971182e-05,-0.0005253884199,-0.0005383313827,-0.0003099120561,-0.003616599392,-0.00012895026,0.0001328466344,-0.003033355859,-0.003108083939,-0.002385715979,-0.01898821022,-0.00124082611,0,0,0,0,-0.07546397817,0,0,0,0,0,0.03252887857,0,0,0,0,0,0.1952340531,0,0,0,0,0,0.2579026124,0,0,0,0,0,0.0005722904613,0,0,0,0,0,0.2579026124,0,0.0001328466321,-0.003033327952,-0.003108053918,-0.002385702402,-0.01898136893,-0.001240824201,0.05,1,1,0
0.07,2.372876531e-05,-0.0005778793249,-0.0005622998326,-0.0003120692165,-0.003986672257,-0.00012895026,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.004188790205,-0.001047197551,0,-0.03351032164,0,2.396844981e-05,-0.0005802761699,-0.0005632585706,-0.00031278827,-0.003990507209,-0.000129908998,0.000138381911,-0.003350258911,-0.003252004945,-0.002407857418,-0.02095277307,-0.001250051608,0,0,0,0,-0.06939732921,0,0,0,0,0,0.03588700757,0,0,0,0,0,0.2086208164,0,0,0,0,0,0.2579026123,0,0,0,0,0,0.000778742682,0,0,0,0,0,0.2579026123,0,0.0001383819085,-0.003350221311,-0.003251970558,-0.00240784346,-0.0209435825,-0.001250049656,0.05,1,1,0
0.08,2.420813431e-05,-0.0006253368556,-0.0005728459505,-0.0003163835375,-0.004328702036,-0.000128470891,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.004188790205,0,0,-0.03141592654,0,2.444781881e-05,-0.0006277337005,-0.0005738046885,-0.000317102591,-0.004332536988,-0.000129429629,0.0001411495493,-0.003624263842,-0.003312894707,-0.002441069588,-0.02275021465,-0.001245438859,0,0,0,0,-0.07037349466,0,0,0,0,0,0.03895756813,0,0,0,0,0,0.2180221423,0,0,0,0,0,0.2579026123,0,0,0,0,0,0.001016819565,0,0,0,0,0,0.2579026123,0,0.0001411495466,-0.003624216241,-0.003312858352,-0.002441055045,-0.02273845196,-0.001245436928,0.05,1,1,0
0.09,2.468750331e-05,-0.0006708769102,-0.0005766809024,-0.0003197391205,-0.004616563118,-0.0001277518375,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.004188790205,0,0,-0.02722713633,0,2.49271878e-05,-0.0006732737552,-0.0005776396404,-0.000320458174,-0.00462039807,-0.0001287105755,0.0001439171876,-0.003887199207,-0.003335036455,-0.002466901286,-0.02426328513,-0.001238519736,0,0,0,0,-0.0687679511,0,0,0,0,0,0.04154081477,0,0,0,0,0,0.2218356277,0,0,0,0,0,0.2579026124,0,0,0,0,0,0.001286462368,0,0,0,0,0,0.2579026124,0,0.0001439171848,-0.003887140476,-0.003334999365,-0.002466886276,-0.02424901798,-0.001238517837,0.05,1,1,0
0.1,2.49271878e-05,-0.0007101851679,-0.0005773999559,-0.0003247724949,-0.004874223954,-0.0001272724685,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.003141592654,0,-0.001047197551,-0.02408554368,0,2.51668723e-05,-0.0007125820129,-0.0005783586939,-0.0003254915484,-0.004878058905,-0.0001282312065,0.0001453010068,-0.004114155075,-0.003339188033,-0.002505648849,-0.02561786181,-0.001233906987,0,0,0,0,-0.06793774842,0,0,0,0,0,0.04385220474,0,0,0,0,0,0.2227097671,0,0,0,0,0,0.2579026124,0,0,0,0,0,0.001587604562,0,0,0,0,0,0.2579026124,0,0.0001453010038,-0.004114085444,-0.003339150805,-0.002505633121,-0.02560107151,-0.001233905109,0.05,1,1,0
0.11,2.444781881e-05,-0.0007504521636,-0.0005773999559,-0.0003314836609,-0.005075319247,-0.0001277518375,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.003141592654,0,0,-0.01675516082,0,2.468750331e-05,-0.0007528490086,-0.0005783586939,-0.0003322027144,-0.005079154199,-0.0001287105755,0.0001425333684,-0.004346647605,-0.003339188033,-0.002557312297,-0.02667523207,-0.001238519736,0,0,0,0,-0.06241074274,0,0,0,0,0,0.04565558192,0,0,0,0,0,0.2186014877,0,0,0,0,0,0.2579026124,0,0,0,0,0,0.001920171842,0,0,0,0,0,0.2579026124,0,0.0001425333657,-0.00434656549,-0.003339150805,-0.002557295576,-0.02665627782,-0.001238517837,0.05,1,1,0
0.12,2.444781881e-05,-0.0007844873623,-0.0005778793249,-0.0003360376663,-0.00520546793,-0.0001287105755,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.003141592654,0,0,-0.00837758041,0,2.468750331e-05,-0.0007868842073,-0.0005788380629,-0.0003367567198,-0.005209302882,-0.0001296693135,0.0001425333684,-0.004543160108,-0.003341955753,-0.002592369657,-0.02735964397,-0.001247745233,0,0,0,0,-0.05520002339,0,0,0,0,0,0.04682244298,0,0,0,0,0,0.2088052282,0,0,0,0,0,0.2579026123,0,0,0,0,0,0.002284082154,0,0,0,0,0,0.2579026123,0,0.0001425333657,-0.004543066345,-0.003341918432,-0.002592352239,-0.02733919453,-0.001247743292,0.05,1,1,0
0.13,2.420813431e-05,-0.0008144479246,-0.0005781190094,-0.0003391535648,-0.005271141482,-0.0001282312065,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.002094395102,0,0,-0.004188790205,0,2.444781881e-05,-0.0008168447695,-0.0005790777474,-0.0003398726183,-0.005274976434,-0.0001291899445,0.0001411495493,-0.004716147228,-0.003343339612,-0.002616356282,-0.02770502635,-0.001243132484,0,0,0,0,-0.05159994941,0,0,0,0,0,0.04741115921,0,0,0,0,0,0.1944329952,0,0,0,0,0,0.2579026123,0,0,0,0,0,0.002679245709,0,0,0,0,0,0.2579026123,0,0.0001411495466,-0.00471604234,-0.003343302245,-0.002616338375,-0.02768379345,-0.001243130565,0.05,1,1,0
0.14,2.468750331e-05,-0.0008379370054,-0.0005781190094,-0.0003458647308,-0.005293671825,-0.0001282312065,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.002094395102,0,-0.001047197551,0,0,2.49271878e-05,-0.0008403338504,-0.0005790777474,-0.0003465837843,-0.005297506777,-0.0001291899445,0.0001439171876,-0.004851769646,-0.003343339612,-0.002668019808,-0.02782351917,-0.001243132484,0,0,0,0,-0.04761311398,0,0,0,0,0,0.04761311398,0,0,0,0,0,0.1777428577,0,0,0,0,0,0.2435241678,0,0,0,0,0,0.002932425254,0,0,0,0,0,0.2579026123,0,0.0001439171848,-0.004851655447,-0.003343302245,-0.002668000819,-0.02780201296,-0.001243130565,0.05,1,1,0
0.15,2.49271878e-05,-0.0008614260862,-0.0005790777474,-0.0003513774742,-0.005295109932,-0.0001282312065,-2.396844981e-07,2.396844981e-06,9.587379924e-07,7.190534943e-07,3.83495197e-06,9.587379924e-07,0,-0.002094395102,0,0,0,0,2.51668723e-05,-0.0008638229312,-0.0005800364854,-0.0003520965277,-0.005298944884,-0.0001291899445,0.0001453010068,-0.004987392532,-0.003348875051,-0.002710457732,-0.02783108261,-0.001243132484,0,0,0,0,-0.04762600447,0,0,0,0,0,0.04762600447,0,0,0,0,0,0.1608672058,0,0,0,0,0,0.239225497,0,0,0,0,0,0.003304909762,0,0,0,0,0,0.2579026123,0,0.0001453010038,-0.004987268487,-0.003348837498,-0.002710437822,-0.02780955887,-0.001243130565,0.05,1,1,0
